timestamp,time_minutes,total_load_kw,critical_load_kw,non_critical_load_kw,shed_load_kw,ev_charging_kw,ac_load_kw,washing_load_kw,lighting_load_kw,pv_power_kw,pv_curtailment_kw,gen1_power_kw,gen1_state,grid_power_kw,battery_power_kw,battery_soc_percent,battery_energy_kwh,operation_mode,grid_available,frequency_hz,voltage_pu,power_balance_kw,islanding_event,reconnection_event,load_energy_kwh,pv_energy_kwh,gen1_fuel_liters,battery_throughput_kwh,ac_shed_minutes,ev_shed_minutes
2025-01-15 00:00:00,0.0,179.5416861451971,100,79.5416861451971,0.0,19.885421536299276,46.399316918031644,7.457033076112228,5.7999146147539555,0.0,0,0.0,OFF,0.0,-179.5416861451971,81.45570221279165,366.5506599575624,GRID_CONNECTED,True,50.0,1.0,-179.5416861451971,False,False,14.961807178766424,0.0,0.0,15.949340042437582,5.0,5.0
2025-01-15 00:05:00,5.0,183.53040611455611,100,83.53040611455611,0.0,20.88260152863903,48.726070233491065,7.830975573239636,6.090758779186383,0.0,0,0.0,OFF,0.0,-183.53040611455611,77.83266387421207,350.2469874339543,GRID_CONNECTED,True,50.0,1.0,-183.53040611455611,False,False,30.256007688312767,0.0,0.0,32.25301256604569,10.0,10.0
2025-01-15 00:10:00,10.0,180.53644817622768,100,80.53644817622768,0.0,20.13411204405692,46.979594769466146,7.550292016521345,5.872449346183268,0.0,0,0.0,OFF,0.0,-180.53644817622768,74.26872868166862,334.20927906750876,GRID_CONNECTED,True,50.0,1.0,-180.53644817622768,False,False,45.300711702998406,0.0,0.0,48.290720932491226,15.0,15.0
2025-01-15 00:15:00,15.0,187.65558912852413,100,87.65558912852413,0.0,21.913897282131032,51.13242699163907,8.217711480799137,6.391553373954884,0.0,0,0.0,OFF,0.0,-187.65558912852413,70.56425590108199,317.53915155486897,GRID_CONNECTED,True,50.0,1.0,-187.65558912852413,False,False,60.93867746370875,0.0,0.0,64.96084844513099,20.0,20.0
2025-01-15 00:20:00,20.0,182.93698209193138,100,82.93698209193138,0.0,20.734245522982846,48.37990622029331,7.775342071118567,6.047488277536663,0.0,0,0.0,OFF,0.0,-182.93698209193138,66.95293223164373,301.28819504239675,GRID_CONNECTED,True,50.0,1.0,-182.93698209193138,False,False,76.1834259713697,0.0,0.0,81.21180495760318,25.0,25.0
2025-01-15 00:25:00,25.0,179.21451593989644,100,79.21451593989644,0.0,19.80362898497411,46.20846763160626,7.426360869365292,5.776058453950783,0.0,0,0.0,OFF,0.0,-179.21451593989644,63.41509304833725,285.3679187175176,GRID_CONNECTED,True,50.0,1.0,-179.21451593989644,False,False,91.11796896636108,0.0,0.0,97.13208128248229,30.0,30.0
2025-01-15 00:30:00,30.0,172.065511612952,100,72.06551161295201,0.0,18.016377903238002,42.03821510755534,6.756141713714252,5.254776888444417,0.0,0,0.0,OFF,0.0,-172.065511612952,60.018380980191324,270.08271441086094,GRID_CONNECTED,True,50.0,1.0,-172.065511612952,False,False,105.45676160077375,0.0,0.0,112.41728558913894,35.0,35.0
2025-01-15 00:35:00,35.0,171.07956642398872,100,71.07956642398872,0.0,17.76989160599718,41.463080413993424,6.663709352248943,5.182885051749178,0.0,0,0.0,OFF,0.0,-171.07956642398872,56.64113226580228,254.88509519611026,GRID_CONNECTED,True,50.0,1.0,-171.07956642398872,False,False,119.71339213610614,0.0,0.0,127.61490480388962,40.0,40.0
2025-01-15 00:40:00,40.0,187.43217676800992,100,87.43217676800992,0.0,21.85804419200248,51.00210311467246,8.19676657200093,6.375262889334057,0.0,0,0.0,OFF,0.0,-187.43217676800992,52.94106982552162,238.2348142148473,GRID_CONNECTED,True,50.0,1.0,-187.43217676800992,False,False,135.33274020010697,0.0,0.0,144.2651857851526,45.0,45.0
2025-01-15 00:45:00,45.0,180.44371937471095,100,80.44371937471095,0.0,20.110929843677738,46.92550296858139,7.541598691379152,5.865687871072674,0.0,0,0.0,OFF,0.0,-180.44371937471095,49.37896517435873,222.20534328461432,GRID_CONNECTED,True,50.0,1.0,-180.44371937471095,False,False,150.36971681466622,0.0,0.0,160.29465671538557,50.0,50.0
