timestamp,time_minutes,total_load_kw,critical_load_kw,non_critical_load_kw,shed_load_kw,hvac_load_kw,wards_lighting_load_kw,admin_load_kw,pv_power_kw,pv_curtailment_kw,gen1_power_kw,gen1_state,gen2_power_kw,gen2_state,grid_power_kw,battery_power_kw,battery_soc_percent,battery_energy_kwh,operation_mode,grid_available,frequency_hz,voltage_pu,power_balance_kw,islanding_event,reconnection_event,load_energy_kwh,pv_energy_kwh,gen1_fuel_liters,gen2_fuel_liters,battery_throughput_kwh
2025-01-15 00:00:00,0.0,548.3845416525244,320,228.38454165252438,0.0,97.8790892796533,48.93954463982665,81.56590773304441,0.0,0,0.0,OFF,0.0,OFF,48.384541652524376,-500.0,88.16997820592107,2116.079476942106,GRID_CONNECTED,True,50.0,1.0,-500.0,False,False,45.69871180437703,0.0,0.0,0.0,43.92052305789416
2025-01-15 00:05:00,5.0,550.3784988016389,320,230.3784988016389,0.0,98.73364234355954,49.36682117177977,82.27803528629961,0.0,0,0.0,OFF,0.0,OFF,50.3784988016389,-500.0,86.33995641184215,2072.1589538842118,GRID_CONNECTED,True,50.0,1.0,-500.0,False,False,91.5635867045136,0.0,0.0,0.0,87.84104611578832
2025-01-15 00:10:00,10.0,550.7734379998296,320,230.77343799982964,0.0,98.90290199992698,49.45145099996349,82.41908499993914,0.0,0,0.0,OFF,0.0,OFF,50.77343799982964,-500.0,84.50993461776324,2028.2384308263177,GRID_CONNECTED,True,50.0,1.0,-500.0,False,False,137.4613732044994,0.0,0.0,0.0,131.76156917368246
2025-01-15 00:15:00,15.0,545.4235612478748,320,225.42356124787477,0.0,96.61009767766062,48.30504883883031,80.50841473138385,0.0,0,0.0,OFF,0.0,OFF,50.77343799982964,-494.65012324804513,82.69949360578775,1984.7878465389058,GRID_CONNECTED,True,50.0,1.0,-494.65012324804513,False,False,182.9133366418223,0.0,0.0,0.0,175.21215346109437
2025-01-15 00:20:00,20.0,546.7933568008511,320,226.79335680085114,0.0,97.19715291465049,48.598576457325244,80.9976274288754,0.0,0,0.0,OFF,0.0,OFF,50.77343799982964,-496.0199188010215,80.88403908238149,1941.2169379771558,GRID_CONNECTED,True,50.0,1.0,-496.0199188010215,False,False,228.47944970855988,0.0,0.0,0.0,218.7830620228445
2025-01-15 00:25:00,25.0,538.0354663781845,320,218.03546637818454,0.0,93.44377130493623,46.72188565246812,77.86980942078019,0.0,0,0.0,OFF,0.0,OFF,50.77343799982964,-487.2620283783549,79.10063881966252,1898.4153316719003,GRID_CONNECTED,True,50.0,1.0,-487.2620283783549,False,False,273.31573857340857,0.0,0.0,0.0,261.5846683281001
2025-01-15 00:30:00,30.0,553.8629874647299,320,233.86298746472994,0.0,100.2269946277414,50.1134973138707,83.52249552311784,0.0,0,0.0,OFF,0.0,OFF,53.86298746472994,-500.0,77.27061702558359,1854.4948086140062,GRID_CONNECTED,True,50.0,1.0,-500.0,False,False,319.4709875288027,0.0,0.0,0.0,305.5051913859943
2025-01-15 00:35:00,35.0,549.4420832753066,320,229.44208327530657,0.0,98.33232140370282,49.16616070185141,81.94360116975234,0.0,0,0.0,OFF,0.0,OFF,53.86298746472994,-495.57909581057663,75.45677593353702,1810.9626224048886,GRID_CONNECTED,True,50.0,1.0,-495.57909581057663,False,False,365.25782780174495,0.0,0.0,0.0,349.0373775951118
2025-01-15 00:40:00,40.0,562.6377760295244,320,242.6377760295244,0.0,103.9876182983676,51.9938091491838,86.65634858197299,0.0,0,0.0,OFF,0.0,OFF,62.63777602952439,-500.0,73.6267541394581,1767.0420993469945,GRID_CONNECTED,True,50.0,1.0,-500.0,False,False,412.14430913753864,0.0,0.0,0.0,392.957900653006
2025-01-15 00:45:00,45.0,540.1543178039647,320,220.15431780396466,0.0,94.35185048741343,47.175925243706715,78.62654207284452,0.0,0,0.0,OFF,0.0,OFF,62.63777602952439,-477.51654177444027,71.87902278249726,1725.0965467799342,GRID_CONNECTED,True,50.0,1.0,-477.51654177444027,False,False,457.1571689545357,0.0,0.0,0.0,434.90345322006635
