timestamp,time_minutes,total_load_kw,critical_load_kw,non_critical_load_kw,shed_load_kw,pv_power_kw,pv_curtailment_kw,generator_power_kw,generator_state,grid_power_kw,battery_power_kw,battery_soc_percent,battery_energy_kwh,operation_mode,grid_available,frequency_hz,voltage_pu,power_balance_kw,islanding_event,reconnection_event,load_energy_kwh,pv_energy_kwh,generator_fuel_liters,battery_throughput_kwh
2025-01-15 00:00:00,0.0,156.53828434780644,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-156.53828434780644,79.24029300996172,1426.3252741793108,GRID_CONNECTED,True,50.0,1.0,-156.53828434780644,False,False,13.04485702898387,0.0,0.0,13.674725820689124
2025-01-15 00:05:00,5.0,154.98234476426612,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-154.98234476426612,78.48813726007288,1412.7864706813118,GRID_CONNECTED,True,50.0,1.0,-154.98234476426612,False,False,25.960052426006044,0.0,0.0,27.213529318688188
2025-01-15 00:10:00,10.0,163.3929158440116,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-163.3929158440116,77.69516357439205,1398.512944339057,GRID_CONNECTED,True,50.0,1.0,-163.3929158440116,False,False,39.576128746340345,0.0,0.0,41.48705566094301
2025-01-15 00:15:00,15.0,154.15946695145982,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-154.15946695145982,76.94700139086265,1385.046025035528,GRID_CONNECTED,True,50.0,1.0,-154.15946695145982,False,False,52.42275099229533,0.0,0.0,54.95397496447209
2025-01-15 00:20:00,20.0,160.73459801326737,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-160.73459801326737,76.16692897496496,1371.0047215493694,GRID_CONNECTED,True,50.0,1.0,-160.73459801326737,False,False,65.81730082673428,0.0,0.0,68.99527845063052
2025-01-15 00:25:00,25.0,155.8938938842333,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-155.8938938842333,75.410349321741,1357.386287791338,GRID_CONNECTED,True,50.0,1.0,-155.8938938842333,False,False,78.80845865042039,0.0,0.0,82.61371220866198
2025-01-15 00:30:00,30.0,153.76275702345563,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-153.76275702345563,74.66411243914727,1343.954023904651,GRID_CONNECTED,True,50.0,1.0,-153.76275702345563,False,False,91.62202173570836,0.0,0.0,96.04597609534908
2025-01-15 00:35:00,35.0,152.54327873316373,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-152.54327873316373,73.92379389266662,1330.6282900679992,GRID_CONNECTED,True,50.0,1.0,-152.54327873316373,False,False,104.33396163013867,0.0,0.0,109.3717099320008
2025-01-15 00:40:00,40.0,154.3879682769103,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-154.3879682769103,73.1745227532361,1317.14140955825,GRID_CONNECTED,True,50.0,1.0,-154.3879682769103,False,False,117.19962565321453,0.0,0.0,122.85859044174993
2025-01-15 00:45:00,45.0,160.71402014169138,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-160.71402014169138,72.39455020525854,1303.1019036946536,GRID_CONNECTED,True,50.0,1.0,-160.71402014169138,False,False,130.59246066502214,0.0,0.0,136.89809630534626
2025-01-15 00:50:00,50.0,160.68459222716405,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-160.68459222716405,71.61472047596882,1289.0649685674387,GRID_CONNECTED,True,50.0,1.0,-160.68459222716405,False,False,143.98284335061913,0.0,0.0,150.93503143256132
2025-01-15 00:55:00,55.0,159.71124297751334,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-159.71124297751334,70.83961457658299,1275.1130623784939,GRID_CONNECTED,True,50.0,1.0,-159.71124297751334,False,False,157.29211359874523,0.0,0.0,164.8869376215061
2025-01-15 01:00:00,60.0,166.95455246146258,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-166.95455246146258,70.02935566099482,1260.5284018979069,GRID_CONNECTED,True,50.0,1.0,-166.95455246146258,False,False,171.2049929705338,0.0,0.0,179.4715981020932
2025-01-15 01:05:00,65.0,157.24679686094203,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-157.24679686094203,69.2662101389003,1246.7917825002055,GRID_CONNECTED,True,50.0,1.0,-157.24679686094203,False,False,184.30889270894562,0.0,0.0,193.20821749979464
2025-01-15 01:10:00,70.0,166.09335653331055,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-166.09335653331055,68.46013075402013,1232.2823535723624,GRID_CONNECTED,True,50.0,1.0,-166.09335653331055,False,False,198.15000575338817,0.0,0.0,207.7176464276377
2025-01-15 01:15:00,75.0,167.73101785355175,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-167.73101785355175,67.64610351946544,1217.629863350378,GRID_CONNECTED,True,50.0,1.0,-167.73101785355175,False,False,212.12759057451748,0.0,0.0,222.370136649622
2025-01-15 01:20:00,80.0,154.97740541823538,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-154.97740541823538,66.89397174106524,1204.0914913391746,GRID_CONNECTED,True,50.0,1.0,-154.97740541823538,False,False,225.04237435937043,0.0,0.0,235.90850866082545
2025-01-15 01:25:00,85.0,164.4013642678459,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-164.4013642678459,66.09610388320239,1189.7298698976429,GRID_CONNECTED,True,50.0,1.0,-164.4013642678459,False,False,238.7424880483576,0.0,0.0,250.27013010235706
2025-01-15 01:30:00,90.0,167.87268491031125,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-167.87268491031125,65.28138911426129,1175.0650040567032,GRID_CONNECTED,True,50.0,1.0,-167.87268491031125,False,False,252.73187845755018,0.0,0.0,264.9349959432967
2025-01-15 01:35:00,95.0,154.8542879135954,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-154.8542879135954,64.52985484610761,1161.5373872299372,GRID_CONNECTED,True,50.0,1.0,-154.8542879135954,False,False,265.6364024503498,0.0,0.0,278.4626127700627
2025-01-15 01:40:00,100.0,161.76405237351858,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-161.76405237351858,63.744786312636094,1147.4061536274496,GRID_CONNECTED,True,50.0,1.0,-161.76405237351858,False,False,279.11674014814304,0.0,0.0,292.5938463725502
2025-01-15 01:45:00,105.0,166.99309417653765,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-166.99309417653765,62.93434034753174,1132.8181262555713,GRID_CONNECTED,True,50.0,1.0,-166.99309417653765,False,False,293.0328313295212,0.0,0.0,307.1818737444285
2025-01-15 01:50:00,110.0,164.2476513800094,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-164.2476513800094,62.13721848452779,1118.4699327215003,GRID_CONNECTED,True,50.0,1.0,-164.2476513800094,False,False,306.7201356111886,0.0,0.0,321.5300672784995
2025-01-15 01:55:00,115.0,160.52337745907266,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-160.52337745907266,61.35817115800124,1104.4470808440224,GRID_CONNECTED,True,50.0,1.0,-160.52337745907266,False,False,320.097083732778,0.0,0.0,335.55291915597735
2025-01-15 02:00:00,120.0,166.38941241806594,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-166.38941241806594,60.550654963422865,1089.9117893416117,GRID_CONNECTED,True,50.0,1.0,-166.38941241806594,False,False,333.9628681009502,0.0,0.0,350.08821065838805
2025-01-15 02:05:00,125.0,165.10440480348052,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-165.10440480348052,59.74937512994376,1075.4887523389878,GRID_CONNECTED,True,50.0,1.0,-165.10440480348052,False,False,347.7215685012402,0.0,0.0,364.5112476610119
2025-01-15 02:10:00,130.0,161.47297672726074,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-161.47297672726074,58.96571923622368,1061.3829462520262,GRID_CONNECTED,True,50.0,1.0,-161.47297672726074,False,False,361.1776498951786,0.0,0.0,378.61705374797344
2025-01-15 02:15:00,135.0,165.1062133434349,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-165.1062133434349,58.16443062559175,1046.9597512606515,GRID_CONNECTED,True,50.0,1.0,-165.1062133434349,False,False,374.9365010071315,0.0,0.0,393.04024873934816
2025-01-15 02:20:00,140.0,153.34733247965104,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-153.34733247965104,57.42020986915577,1033.5637776448038,GRID_CONNECTED,True,50.0,1.0,-153.34733247965104,False,False,387.7154453804357,0.0,0.0,406.43622235519587
2025-01-15 02:25:00,145.0,157.7479948470331,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-157.7479948470331,56.65463194776025,1019.7833750596845,GRID_CONNECTED,True,50.0,1.0,-157.7479948470331,False,False,400.8611116176885,0.0,0.0,420.2166249403152
2025-01-15 02:30:00,150.0,152.87658580720262,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-152.87658580720262,55.91269580520698,1006.4285244937256,GRID_CONNECTED,True,50.0,1.0,-152.87658580720262,False,False,413.60082710162203,0.0,0.0,433.5714755062742
2025-01-15 02:35:00,155.0,164.3560313299082,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-164.3560313299082,55.115047955823016,992.0708632048144,GRID_CONNECTED,True,50.0,1.0,-164.3560313299082,False,False,427.2971630457811,0.0,0.0,447.9291367951855
2025-01-15 02:40:00,160.0,154.85336439181847,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-154.85336439181847,54.36351816967804,978.5433270542046,GRID_CONNECTED,True,50.0,1.0,-154.85336439181847,False,False,440.2016100784326,0.0,0.0,461.4566729457953
2025-01-15 02:45:00,165.0,166.41954831456192,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-166.41954831456192,53.55585572045458,964.0054029681825,GRID_CONNECTED,True,50.0,1.0,-166.41954831456192,False,False,454.0699057713128,0.0,0.0,475.9945970318174
2025-01-15 02:50:00,170.0,159.3527453309253,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-159.3527453309253,52.78248967128598,950.0848140831476,GRID_CONNECTED,True,50.0,1.0,-159.3527453309253,False,False,467.3493012155566,0.0,0.0,489.9151859168523
2025-01-15 02:55:00,175.0,167.27262383138918,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-167.27262383138918,51.97068710109555,935.4723678197198,GRID_CONNECTED,True,50.0,1.0,-167.27262383138918,False,False,481.28868653483903,0.0,0.0,504.5276321802802
2025-01-15 03:00:00,180.0,154.16627161459368,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-154.16627161459368,51.22249189337549,922.0048540807588,GRID_CONNECTED,True,50.0,1.0,-154.16627161459368,False,False,494.13587583605516,0.0,0.0,517.9951459192412
2025-01-15 03:05:00,185.0,158.59361897309603,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-158.59361897309603,50.45281001388313,908.1505802498963,GRID_CONNECTED,True,50.0,1.0,-158.59361897309603,False,False,507.35201075047985,0.0,0.0,531.8494197501037
2025-01-15 03:10:00,190.0,153.8487374602798,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-153.8487374602798,49.70615585356635,894.7108053641944,GRID_CONNECTED,True,50.0,1.0,-153.8487374602798,False,False,520.1727388721698,0.0,0.0,545.2891946358056
2025-01-15 03:15:00,195.0,155.73285598163432,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-155.73285598163432,48.95035774474716,881.1064394054489,GRID_CONNECTED,True,50.0,1.0,-155.73285598163432,False,False,533.1504768706393,0.0,0.0,558.8935605945511
2025-01-15 03:20:00,200.0,164.83738544454908,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-164.83738544454908,48.15037380175453,866.7067284315816,GRID_CONNECTED,True,50.0,1.0,-164.83738544454908,False,False,546.8869256576851,0.0,0.0,573.2932715684184
2025-01-15 03:25:00,205.0,152.04902813328368,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-152.04902813328368,47.412453937724784,853.4241708790462,GRID_CONNECTED,True,50.0,1.0,-152.04902813328368,False,False,559.5576780021254,0.0,0.0,586.5758291209538
2025-01-15 03:30:00,210.0,166.2229654830615,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-166.2229654830615,46.60574553850792,838.9034196931425,GRID_CONNECTED,True,50.0,1.0,-166.2229654830615,False,False,573.4095917923805,0.0,0.0,601.0965803068575
2025-01-15 03:35:00,215.0,156.49448619245806,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-156.49448619245806,45.846251108386895,825.232519950964,GRID_CONNECTED,True,50.0,1.0,-156.49448619245806,False,False,586.4507989750854,0.0,0.0,614.767480049036
