timestamp,time_minutes,total_load_kw,critical_load_kw,non_critical_load_kw,shed_load_kw,hvac_load_kw,wards_lighting_load_kw,admin_load_kw,pv_power_kw,pv_curtailment_kw,gen1_power_kw,gen1_state,gen2_power_kw,gen2_state,grid_power_kw,battery_power_kw,battery_soc_percent,battery_energy_kwh,operation_mode,grid_available,frequency_hz,voltage_pu,power_balance_kw,islanding_event,reconnection_event,load_energy_kwh,pv_energy_kwh,gen1_fuel_liters,gen2_fuel_liters,battery_throughput_kwh
2025-01-15 00:00:00,0.0,561.3810759969768,320,241.38107599697685,0.0,103.44903257013293,51.724516285066464,86.20752714177743,0.0,0,0.0,OFF,0.0,OFF,61.38107599697685,-500.0,88.16997820592107,2116.079476942106,GRID_CONNECTED,True,50.0,1.0,-500.0,False,False,46.781756333081404,0.0,0.0,0.0,43.92052305789416
2025-01-15 00:05:00,5.0,561.9177540646447,320,241.91775406464467,0.0,103.67903745627629,51.839518728138145,86.39919788023023,0.0,0,0.0,OFF,0.0,OFF,61.91775406464467,-500.0,86.33995641184215,2072.1589538842118,GRID_CONNECTED,True,50.0,1.0,-500.0,False,False,93.60823583846846,0.0,0.0,0.0,87.84104611578832
2025-01-15 00:10:00,10.0,558.2289417092583,320,238.22894170925827,0.0,102.0981178753964,51.0490589376982,85.08176489616368,0.0,0,0.0,OFF,0.0,OFF,61.91775406464467,-496.3111876446136,84.52343583177249,2028.5624599625396,GRID_CONNECTED,True,50.0,1.0,-496.3111876446136,False,False,140.12731431423998,0.0,0.0,0.0,131.43754003746048
2025-01-15 00:15:00,15.0,553.5784795840218,320,233.5784795840218,0.0,100.10506267886649,50.052531339433244,83.42088556572207,0.0,0,0.0,OFF,0.0,OFF,61.91775406464467,-491.66072551937714,82.72393614578625,1985.37446749887,GRID_CONNECTED,True,50.0,1.0,-491.66072551937714,False,False,186.25885427957513,0.0,0.0,0.0,174.62553250113
2025-01-15 00:20:00,20.0,565.5302211978557,320,245.53022119785567,0.0,105.22723765622385,52.613618828111925,87.68936471351988,0.0,0,0.0,OFF,0.0,OFF,65.53022119785567,-500.0,80.89391435170732,1941.4539444409759,GRID_CONNECTED,True,50.0,1.0,-500.0,False,False,233.38637271272978,0.0,0.0,0.0,218.54605555902418
2025-01-15 00:25:00,25.0,547.3990008034933,320,227.39900080349332,0.0,97.45671463006856,48.72835731503428,81.21392885839047,0.0,0,0.0,OFF,0.0,OFF,65.53022119785567,-481.86877960563766,79.13025361457827,1899.1260867498784,GRID_CONNECTED,True,50.0,1.0,-481.86877960563766,False,False,279.0029561130209,0.0,0.0,0.0,260.87391325012163
2025-01-15 00:30:00,30.0,542.2633358081839,320,222.2633358081839,0.0,95.25571534636452,47.62785767318226,79.37976278863711,0.0,0,0.0,OFF,0.0,OFF,65.53022119785567,-476.73311461032824,77.38538963518621,1857.2493512444692,GRID_CONNECTED,True,50.0,1.0,-476.73311461032824,False,False,324.19156743036956,0.0,0.0,0.0,302.75064875553085
2025-01-15 00:35:00,35.0,556.2808057250438,320,236.28080572504382,0.0,101.26320245359021,50.631601226795105,84.3860020446585,0.0,0,0.0,OFF,0.0,OFF,65.53022119785567,-490.75058452718815,75.58922110490278,1814.1413065176664,GRID_CONNECTED,True,50.0,1.0,-490.75058452718815,False,False,370.5483012407899,0.0,0.0,0.0,345.85869348233365
2025-01-15 00:40:00,40.0,558.7524186608043,320,238.75241866080432,0.0,102.3224651403447,51.16123257017235,85.26872095028726,0.0,0,0.0,OFF,0.0,OFF,65.53022119785567,-493.22219746294866,73.78400636354138,1770.8161527249931,GRID_CONNECTED,True,50.0,1.0,-493.22219746294866,False,False,417.1110027958569,0.0,0.0,0.0,389.183847275007
2025-01-15 00:45:00,45.0,542.8525671685111,320,222.8525671685111,0.0,95.50824307221905,47.75412153610952,79.59020256018253,0.0,0,0.0,OFF,0.0,OFF,65.53022119785567,-477.3223459706554,72.03698577168703,1728.8876585204885,GRID_CONNECTED,True,50.0,1.0,-477.3223459706554,False,False,462.3487167265662,0.0,0.0,0.0,431.1123414795116
