timestamp,time_minutes,total_load_kw,critical_load_kw,non_critical_load_kw,shed_load_kw,hvac_load_kw,wards_lighting_load_kw,admin_load_kw,pv_power_kw,pv_curtailment_kw,gen1_power_kw,gen1_state,gen2_power_kw,gen2_state,grid_power_kw,battery_power_kw,battery_soc_percent,battery_energy_kwh,operation_mode,grid_available,frequency_hz,voltage_pu,power_balance_kw,islanding_event,reconnection_event,load_energy_kwh,pv_energy_kwh,gen1_fuel_liters,gen2_fuel_liters,battery_throughput_kwh
2025-01-15 00:00:00,0.0,722.3445534444685,220,502.3445534444685,0.0,347.7769985384782,57.96283308974637,96.60472181624394,0.0,0,0.0,OFF,0.0,OFF,322.3445534444685,-400.0,77.85478997883668,1261.2475976571543,GRID_CONNECTED,True,50.0,1.0,-400.0,False,False,60.195379453705705,0.0,0.0,0.0,34.75240234284579
2025-01-15 00:05:00,5.0,733.9306834855807,220,513.9306834855807,0.0,355.7981654900174,59.29969424833624,98.83282374722707,0.0,0,0.0,OFF,0.0,OFF,333.93068348558074,-400.0,75.70957995767337,1226.4951953143086,GRID_CONNECTED,True,50.0,1.0,-400.0,False,False,121.35626974417076,0.0,0.0,0.0,69.50480468569158
2025-01-15 00:10:00,10.0,720.0650705117359,220,500.06507051173594,0.0,346.19889496966334,57.699815828277224,96.16635971379537,0.0,0,0.0,OFF,0.0,OFF,333.93068348558074,-386.1343870261552,73.6387315662627,1192.9474513734558,GRID_CONNECTED,True,50.0,1.0,-386.1343870261552,False,False,181.3616922868154,0.0,0.0,0.0,103.05254862654428
2025-01-15 00:15:00,15.0,711.7105513019633,220,491.7105513019633,0.0,340.41499705520533,56.73583284253422,94.55972140422371,0.0,0,0.0,OFF,0.0,OFF,333.93068348558074,-377.77986781638253,71.61268867067906,1160.1255564650007,GRID_CONNECTED,True,50.0,1.0,-377.77986781638253,False,False,240.67090489531233,0.0,0.0,0.0,135.87444353499933
2025-01-15 00:20:00,20.0,701.4707037036521,220,481.47070370365213,0.0,333.32587179483613,55.554311965806015,92.59051994301004,0.0,0,0.0,OFF,0.0,OFF,333.93068348558074,-367.5400202180714,69.64156233430312,1128.1933098157106,GRID_CONNECTED,True,50.0,1.0,-367.5400202180714,False,False,299.12679687061666,0.0,0.0,0.0,167.80669018428955
2025-01-15 00:25:00,25.0,700.6799505187475,220,480.67995051874755,0.0,332.77842728220986,55.46307121370164,92.43845202283607,0.0,0,0.0,OFF,0.0,OFF,333.93068348558074,-366.7492670331668,67.6746768270685,1096.3297645985097,GRID_CONNECTED,True,50.0,1.0,-366.7492670331668,False,False,357.51679274717895,0.0,0.0,0.0,199.67023540149057
2025-01-15 00:30:00,30.0,718.2234595053667,220,498.2234595053667,0.0,344.9239335037154,57.48732225061923,95.81220375103206,0.0,0,0.0,OFF,0.0,OFF,333.93068348558074,-384.29277601978595,65.61370504162271,1062.9420216742878,GRID_CONNECTED,True,50.0,1.0,-384.29277601978595,False,False,417.3687477059595,0.0,0.0,0.0,233.05797832571238
2025-01-15 00:35:00,35.0,708.4879621956982,220,488.4879621956982,0.0,338.183973827791,56.363995637965175,93.93999272994196,0.0,0,0.0,OFF,0.0,OFF,333.93068348558074,-374.55727871011743,63.60494497215118,1030.4001085488492,GRID_CONNECTED,True,50.0,1.0,-374.55727871011743,False,False,476.4094112222677,0.0,0.0,0.0,265.59989145115094
2025-01-15 00:40:00,40.0,721.9135580288041,220,501.9135580288041,0.0,347.4786170968644,57.9131028494774,96.52183808246232,0.0,0,0.0,OFF,0.0,OFF,333.93068348558074,-387.9828745432234,61.524183095876495,996.6917661531993,GRID_CONNECTED,True,50.0,1.0,-387.9828745432234,False,False,536.5688743913347,0.0,0.0,0.0,299.3082338468008
2025-01-15 00:45:00,45.0,700.8805263627378,220,480.8805263627378,0.0,332.9172874818954,55.4862145803159,92.4770243005265,0.0,0,0.0,OFF,0.0,OFF,333.93068348558074,-366.94984287715704,59.556221895365546,964.8107947049218,GRID_CONNECTED,True,50.0,1.0,-366.94984287715704,False,False,594.9755849215628,0.0,0.0,0.0,331.18920529507835
2025-01-15 00:50:00,50.0,734.9136333561748,220,514.9136333561748,0.0,356.47866924658257,59.413111541097095,99.02185256849516,0.0,0,0.0,OFF,0.0,OFF,334.91363335617484,-400.0,57.411011874202224,930.058392362076,GRID_CONNECTED,True,50.0,1.0,-400.0,False,False,656.2183877012441,0.0,0.0,0.0,365.94160763792416
2025-01-15 00:55:00,55.0,718.2312908876211,220,498.23129088762107,0.0,344.92935522989154,57.48822587164859,95.81370978608098,0.0,0,0.0,OFF,0.0,OFF,334.91363335617484,-383.31765753144623,55.35526967363895,896.755368712951,GRID_CONNECTED,True,50.0,1.0,-383.31765753144623,False,False,716.0709952752125,0.0,0.0,0.0,399.2446312870492
