timestamp,time_minutes,total_load_kw,critical_load_kw,non_critical_load_kw,shed_load_kw,pv_power_kw,pv_curtailment_kw,generator_power_kw,generator_state,grid_power_kw,battery_power_kw,battery_soc_percent,battery_energy_kwh,operation_mode,grid_available,frequency_hz,voltage_pu,power_balance_kw,islanding_event,reconnection_event,load_energy_kwh,pv_energy_kwh,generator_fuel_liters,battery_throughput_kwh
2025-01-15 00:00:00,0.0,153.8073376117833,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-153.8073376117833,79.25354676020832,1426.5638416837498,GRID_CONNECTED,True,50.0,1.0,-153.8073376117833,False,False,12.817278134315275,0.0,0.0,13.436158316250102
2025-01-15 00:05:00,5.0,158.39812631124352,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-158.39812631124352,78.48481363994333,1412.72664551898,GRID_CONNECTED,True,50.0,1.0,-158.39812631124352,False,False,26.01712199358557,0.0,0.0,27.27335448102008
2025-01-15 00:10:00,10.0,155.39967407181587,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-155.39967407181587,77.73063251975346,1399.1513853555623,GRID_CONNECTED,True,50.0,1.0,-155.39967407181587,False,False,38.967094832903555,0.0,0.0,40.848614644437816
2025-01-15 00:15:00,15.0,155.55690359734515,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-155.55690359734515,76.97568833786221,1385.5623900815199,GRID_CONNECTED,True,50.0,1.0,-155.55690359734515,False,False,51.93017013268232,0.0,0.0,54.43760991848033
2025-01-15 00:20:00,20.0,158.49569408562934,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-158.49569408562934,76.20648170454888,1371.7166706818798,GRID_CONNECTED,True,50.0,1.0,-158.49569408562934,False,False,65.1381446398181,0.0,0.0,68.28332931812041
2025-01-15 00:25:00,25.0,158.36787466279927,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-158.36787466279927,75.43789540069291,1357.8821172124724,GRID_CONNECTED,True,50.0,1.0,-158.36787466279927,False,False,78.3354675283847,0.0,0.0,82.11788278752789
2025-01-15 00:30:00,30.0,157.45529767846696,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-157.45529767846696,74.67373798857312,1344.1272837943163,GRID_CONNECTED,True,50.0,1.0,-157.45529767846696,False,False,91.4567423349236,0.0,0.0,95.87271620568396
2025-01-15 00:35:00,35.0,153.21008925310912,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-153.21008925310912,73.93018329692106,1330.743299344579,GRID_CONNECTED,True,50.0,1.0,-153.21008925310912,False,False,104.2242497726827,0.0,0.0,109.25670065542113
2025-01-15 00:40:00,40.0,159.1030173021796,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-159.1030173021796,73.15802922046467,1316.844525968364,GRID_CONNECTED,True,50.0,1.0,-159.1030173021796,False,False,117.48283454786433,0.0,0.0,123.15547403163612
2025-01-15 00:45:00,45.0,159.02091614965715,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-159.02091614965715,72.38627359490305,1302.9529247082546,GRID_CONNECTED,True,50.0,1.0,-159.02091614965715,False,False,130.73457756033577,0.0,0.0,137.04707529174556
2025-01-15 00:50:00,50.0,152.3396477463984,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-152.3396477463984,71.64694330432846,1289.6449794779123,GRID_CONNECTED,True,50.0,1.0,-152.3396477463984,False,False,143.42954820586897,0.0,0.0,150.35502052208787
2025-01-15 00:55:00,55.0,153.4029694526652,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-153.4029694526652,70.90245253217408,1276.2441455791336,GRID_CONNECTED,True,50.0,1.0,-153.4029694526652,False,False,156.21312899359106,0.0,0.0,163.75585442086657
2025-01-15 01:00:00,60.0,154.81647658795845,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-154.81647658795845,70.15110176883209,1262.7198318389776,GRID_CONNECTED,True,50.0,1.0,-154.81647658795845,False,False,169.1145020425876,0.0,0.0,177.28016816102246
2025-01-15 01:05:00,65.0,158.49463737131248,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-158.49463737131248,69.38190026393355,1248.8742047508038,GRID_CONNECTED,True,50.0,1.0,-158.49463737131248,False,False,182.32238849019697,0.0,0.0,191.1257952491963
2025-01-15 01:10:00,70.0,152.26775869423201,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-152.26775869423201,68.64291886318912,1235.572539537404,GRID_CONNECTED,True,50.0,1.0,-152.26775869423201,False,False,195.01136838138297,0.0,0.0,204.42746046259592
2025-01-15 01:15:00,75.0,155.12128928356478,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-155.12128928356478,67.89008879185248,1222.0215982533446,GRID_CONNECTED,True,50.0,1.0,-155.12128928356478,False,False,207.9381424883467,0.0,0.0,217.97840174665552
2025-01-15 01:20:00,80.0,157.80222023548197,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-157.80222023548197,67.1242477053992,1208.2364586971855,GRID_CONNECTED,True,50.0,1.0,-157.80222023548197,False,False,221.0883275079702,0.0,0.0,231.76354130281456
2025-01-15 01:25:00,85.0,159.88462596272893,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-159.88462596272893,66.34830034881732,1194.2694062787118,GRID_CONNECTED,True,50.0,1.0,-159.88462596272893,False,False,234.41204633819763,0.0,0.0,245.73059372128824
2025-01-15 01:30:00,90.0,155.9551613148648,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-155.9551613148648,65.59142335430394,1180.6456203774708,GRID_CONNECTED,True,50.0,1.0,-155.9551613148648,False,False,247.40830978110301,0.0,0.0,259.35437962252934
2025-01-15 01:35:00,95.0,164.18516088693534,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-164.18516088693534,64.79460476832003,1166.3028858297605,GRID_CONNECTED,True,50.0,1.0,-164.18516088693534,False,False,261.09040652168096,0.0,0.0,273.69711417023956
2025-01-15 01:40:00,100.0,154.14764303887193,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-154.14764303887193,64.04649996825488,1152.836999428588,GRID_CONNECTED,True,50.0,1.0,-154.14764303887193,False,False,273.93604344158695,0.0,0.0,287.1630005714123
2025-01-15 01:45:00,105.0,160.63823325585452,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-160.63823325585452,63.266895226958994,1138.804114085262,GRID_CONNECTED,True,50.0,1.0,-160.63823325585452,False,False,287.32256287957483,0.0,0.0,301.1958859147382
2025-01-15 01:50:00,110.0,164.93788835406258,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-164.93788835406258,62.466423526206704,1124.3956234717207,GRID_CONNECTED,True,50.0,1.0,-164.93788835406258,False,False,301.06738690908,0.0,0.0,315.60437652827954
2025-01-15 01:55:00,115.0,159.4128021409802,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-159.4128021409802,61.692766011096786,1110.4697881997422,GRID_CONNECTED,True,50.0,1.0,-159.4128021409802,False,False,314.35178708749504,0.0,0.0,329.530211800258
2025-01-15 02:00:00,120.0,167.67620517447298,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-167.67620517447298,60.879004791821444,1095.822086252786,GRID_CONNECTED,True,50.0,1.0,-167.67620517447298,False,False,328.3248041853678,0.0,0.0,344.17791374721406
2025-01-15 02:05:00,125.0,164.88290263895033,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-164.88290263895033,60.078799946121876,1081.4183990301938,GRID_CONNECTED,True,50.0,1.0,-164.88290263895033,False,False,342.065046071947,0.0,0.0,358.5816009698064
2025-01-15 02:10:00,130.0,158.92799989093578,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-158.92799989093578,59.30749525900978,1067.534914662176,GRID_CONNECTED,True,50.0,1.0,-158.92799989093578,False,False,355.30904606285833,0.0,0.0,372.46508533782395
2025-01-15 02:15:00,135.0,160.1127916472561,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-160.1127916472561,58.53044057544944,1053.5479303580898,GRID_CONNECTED,True,50.0,1.0,-160.1127916472561,False,False,368.6517787001297,0.0,0.0,386.45206964191016
2025-01-15 02:20:00,140.0,152.45503758425474,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-152.45503758425474,57.79055027831313,1040.2299050096362,GRID_CONNECTED,True,50.0,1.0,-152.45503758425474,False,False,381.35636516548425,0.0,0.0,399.7700949903639
2025-01-15 02:25:00,145.0,166.37377657219423,240,0.0,0.0,0.0,0,0.0,OFF,0.0,-166.37377657219423,56.98310996716132,1025.6959794089037,GRID_CONNECTED,True,50.0,1.0,-166.37377657219423,False,False,395.2208465465004,0.0,0.0,414.3040205910965
