timestamps,total_load_kw,critical_load_kw,load_shed_kw,battery_soc_percent,battery_power_kw,pv_generation_kw,generator_power_kw,grid_power_kw,is_islanded
2026-01-27 15:00:00,545.4600879600778,320,0,90,0,0.0,0,545.4600879600778,True
2026-01-27 15:15:00,550.1135292833499,320,0,90,0,0.0,0,550.1135292833499,True
2026-01-27 15:30:00,544.9657556062981,320,0,90,0,0.0,0,544.9657556062981,True
2026-01-27 15:45:00,536.7727917275937,320,0,90,0,0.0,0,536.7727917275937,True
2026-01-27 16:00:00,564.0431912998304,320,0,90,0,0.0,0,564.0431912998304,True
2026-01-27 16:15:00,559.9949807098483,320,0,90,0,0.0,0,559.9949807098483,True
2026-01-27 16:30:00,549.3464941444508,320,0,90,0,0.0,0,549.3464941444508,True
2026-01-27 16:45:00,548.7829684995988,320,0,90,0,0.0,0,548.7829684995988,True
2026-01-27 17:00:00,546.0434161786426,320,0,90,0,0.0,0,546.0434161786426,True
2026-01-27 17:15:00,566.3980284022019,320,0,90,0,0.0,0,566.3980284022019,True
2026-01-27 17:30:00,564.7413625624434,320,0,90,0,0.0,0,564.7413625624434,True
2026-01-27 17:45:00,548.6602702224831,320,0,90,0,0.0,0,548.6602702224831,True
2026-01-27 18:00:00,595.4706681148064,320,0,90,0,1.4547669891820017e-30,0,595.4706681148064,True
2026-01-27 18:15:00,573.5470629485357,320,0,90,0,0.18463622606266944,0,573.362426722473,True
2026-01-27 18:30:00,568.5232149025634,320,0,90,0,0.7380881110720212,0,567.7851267914914,True
2026-01-27 18:45:00,576.4810408933323,320,0,90,0,1.6589869466307199,0,574.8220539467015,True
2026-01-27 19:00:00,568.9524457454551,320,0,90,0,2.945057113256815,0,566.0073886321983,True
2026-01-27 19:15:00,568.0721695692113,320,0,90,0,4.593124389731896,0,563.4790451794794,True
2026-01-27 19:30:00,568.7842900787941,320,0,90,0,6.599127521574162,0,562.18516255722,True
2026-01-27 19:45:00,576.4327049259196,320,0,90,0,8.958132984557981,0,567.4745719413615,True
2026-01-27 20:00:00,582.7260114174078,320,0,90,0,11.664352861653361,0,571.0616585557544,True
2026-01-27 20:15:00,596.2073480029022,320,0,90,0,14.711165734774584,0,581.4961822681277,True
2026-01-27 20:30:00,569.8369607924374,320,0,90,0,18.091140476421206,0,551.7458203160162,True
2026-01-27 20:45:00,580.4763687905829,320,0,90,0,21.79606281077992,0,558.6803059798029,True
2026-01-27 21:00:00,587.3688280769977,320,0,90,0,25.816964499237006,0,561.5518635777607,True
2026-01-27 21:15:00,566.2740173960068,320,0,90,0,30.144154991627765,0,536.1298624043791,True
2026-01-27 21:30:00,584.3289742740342,320,0,90,0,34.76725537201257,0,549.5617189020217,True
2026-01-27 21:45:00,580.0657493239958,320,0,90,0,39.67523441640314,0,540.3905149075927,True
2026-01-27 22:00:00,564.1124477350023,320,0,90,0,44.85644656974185,0,519.2560011652605,True
2026-01-27 22:15:00,563.749984289772,320,0,90,0,50.29867164062622,0,513.4513126491457,True
2026-01-27 22:30:00,564.68749209968,320,0,90,0,55.98915600482882,0,508.69833609485113,True
2026-01-27 22:45:00,582.5637391174934,320,0,90,0,61.91465510263186,0,520.6490840148615,True
2026-01-27 23:00:00,596.3111671711348,320,0,90,0,68.06147701041483,0,528.24969016072,True
2026-01-27 23:15:00,594.4560113976872,320,0,90,0,74.41552686382458,0,520.0404845338627,True
2026-01-27 23:30:00,566.3689142877278,320,0,90,0,80.96235190823683,0,485.40656237949094,True
2026-01-27 23:45:00,588.4806390075091,320,0,90,0,87.68718695208698,0,500.79345205542216,True
2026-01-28 00:00:00,580.9567476241292,320,0,90,0,94.57500000000005,0,486.38174762412916,False
2026-01-28 00:15:00,566.0343380962488,320,0,90,0,101.61053784546569,0,464.42380025078313,False
2026-01-28 00:30:00,577.7584289116245,320,0,90,0,108.77837140705353,0,468.98005750457094,False
2026-01-28 00:45:00,588.9072082389015,320,0,90,0,116.0629405978101,0,472.8442676410914,False
2026-01-28 01:00:00,587.712935391237,320,0,90,0,123.4485985244653,0,464.2643368667717,False
2026-01-28 01:15:00,568.1807364996736,320,0,90,0,130.91965482135546,0,437.2610816783181,False
2026-01-28 01:30:00,562.8034807932224,320,0,90,0,138.4604179334544,0,424.343062859768,False
2026-01-28 01:45:00,578.8525568612437,320,0,90,0,146.0552361735351,0,432.7973206877086,False
2026-01-28 02:00:00,582.5986709808316,320,0,90,0,153.68853739016555,0,428.910133590666,False
2026-01-28 02:15:00,566.4479701756902,320,0,90,0,161.34486709588103,0,405.1031030798092,False
2026-01-28 02:30:00,591.7823269739636,320,0,90,0,169.00892491836814,0,422.7734020555954,False
2026-01-28 02:45:00,580.4971678098719,320,0,90,0,176.66559925175727,0,403.83156855811467,False
2026-01-28 03:00:00,585.9820827224203,320,0,90,0,184.30000000000004,0,401.6820827224202,False
2026-01-28 03:15:00,601.0313108180131,320,0,90,0,191.8974893197327,0,409.13382149828044,False
2026-01-28 03:30:00,591.1695303249195,320,0,90,0,199.44371028585027,0,391.7258200390692,False
2026-01-28 03:45:00,607.3641621178351,320,0,90,0,206.92461341912298,0,400.43954869871214,False
2026-01-28 04:00:00,617.3926352701359,320,0,90,0,214.32648103145772,0,403.06615423867817,False
2026-01-28 04:15:00,599.4991355062123,320,0,90,0,221.63594936072045,0,377.8631861454918,False
2026-01-28 04:30:00,582.1627451461918,320,0,90,0,228.84002848325463,0,353.3227166629372,False
2026-01-28 04:45:00,609.6880139447097,320,0,90,0,235.92612000824775,0,373.761893936462,False
2026-01-28 05:00:00,583.1397125340484,320,0,90,0,242.88203257378876,0,340.2576799602596,False
2026-01-28 05:15:00,601.4336373418618,320,0,90,0,249.69599517969942,0,351.73764216216233,False
2026-01-28 05:30:00,594.4832023379822,320,0,90,0,256.3566684069059,0,338.1265339310763,False
2026-01-28 05:45:00,588.1300250159627,320,0,90,0,262.85315358713945,0,325.27687142882326,False
2026-01-28 06:00:00,590.1624264670447,320,0,90,0,269.17500000000007,0,320.98742646704466,False
2026-01-28 06:15:00,616.060944781701,320,0,90,0,275.31221018679787,0,340.7487345949031,False
2026-01-28 06:30:00,596.3709635373037,320,0,90,0,281.25524348202214,0,315.1157200552816,False
2026-01-28 06:45:00,607.7217875691166,320,0,90,0,286.99501787366984,0,320.72676969544676,False
2026-01-28 07:00:00,615.3266066578301,320,0,90,0,292.5229103129544,0,322.8036963448757,False
2026-01-28 07:15:00,601.0533689314325,320,0,90,0,297.8307556020204,0,303.22261332941207,False
2026-01-28 07:30:00,611.7460654871903,320,0,90,0,302.9108439951712,0,308.8352214920191,False
2026-01-28 07:45:00,610.1838582188873,320,0,90,0,307.75591765472154,0,302.42794056416574,False
2026-01-28 08:00:00,591.3390120360166,320,0,90,0,312.3591661068889,0,278.9798459291277,False
2026-01-28 08:15:00,593.591379994533,320,0,90,0,316.7142208461024,0,276.87715914843056,False
2026-01-28 08:30:00,609.6254645311805,320,0,90,0,320.81514923772846,0,288.810315293452,False
2026-01-28 08:45:00,601.8809229406778,320,0,90,0,324.65644786948735,0,277.22447507119045,False
2026-01-28 09:00:00,607.33636154636,320,0,90,0,328.233035500763,0,279.103326045597,False
2026-01-28 09:15:00,598.6943114227718,320,0,90,0,331.5402457566149,0,267.15406566615684,False
2026-01-28 09:30:00,593.2378396490218,320,0,90,0,334.5738197096194,0,258.6640199394024,False
2026-01-28 09:45:00,590.2229789621716,320,0,90,0,337.32989848771587,0,252.89308047445576,False
2026-01-28 10:00:00,609.635329999268,320,0,90,0,339.8050160400926,0,269.83031395917544,False
2026-01-28 10:15:00,615.9578828768542,320,0,90,0,341.9960921858388,0,273.96179069101544,False
2026-01-28 10:30:00,605.5724090624011,320,0,90,0,343.9004260617168,0,261.6719830006843,False
2026-01-28 10:45:00,595.8042371815399,320,0,90,0,345.5156900760126,0,250.28854710552724,False
2026-01-28 11:00:00,604.2761169972531,320,0,90,0,346.83992446511985,0,257.43619253213325,False
2026-01-28 11:15:00,596.3344788854408,320,0,90,0,347.8715325383653,0,248.46294634707556,False
2026-01-28 11:30:00,582.870120397379,320,0,90,0,348.6092766847096,0,234.26084371266938,False
2026-01-28 11:45:00,596.8391768176324,320,0,90,0,349.0522752024474,0,247.786901615185,False
