timestamp,city_survivability_index,unserved_energy_kwh,priority_violations
2026-01-28 00:30:00,0.4626319510838654,0.0,180
2026-01-28 00:45:00,0.46271233537108636,0.0,180
2026-01-28 01:00:00,0.4627922125019211,0.0,180
2026-01-28 01:15:00,0.46287158726086375,0.0,180
2026-01-28 01:30:00,0.4629504643724149,0.0,180
2026-01-28 01:45:00,0.46302884850201886,0.0,180
2026-01-28 02:00:00,0.46310674425698356,0.0,180
2026-01-28 02:15:00,0.4631841561873833,0.0,180
2026-01-28 02:30:00,0.46326108878694455,0.0,180
2026-01-28 02:45:00,0.46333754649391595,0.0,180
2026-01-28 03:00:00,0.4634135336919214,0.0,180
2026-01-28 03:15:00,0.463489054710798,0.0,180
2026-01-28 03:30:00,0.46356411382741847,0.0,180
2026-01-28 03:45:00,0.4636387152664985,0.0,180
2026-01-28 04:00:00,0.4637128632013897,0.0,180
2026-01-28 04:15:00,0.4637865617548573,0.0,180
2026-01-28 04:30:00,0.46385981499984463,0.0,180
2026-01-28 04:45:00,0.4639326269602237,0.0,180
2026-01-28 05:00:00,0.4640050016115314,0.0,180
2026-01-28 05:15:00,0.46407694288169354,0.0,180
2026-01-28 05:30:00,0.4641484546517353,0.0,180
2026-01-28 05:45:00,0.4642195407564792,0.0,180
2026-01-28 06:00:00,0.46429020498523055,0.0,180
2026-01-28 06:15:00,0.46436045108245083,0.0,180
2026-01-28 06:30:00,0.4644302827484191,0.0,180
2026-01-28 06:45:00,0.46449970363988163,0.0,180
2026-01-28 07:00:00,0.4645687173706904,0.0,180
2026-01-28 07:15:00,0.4646373275124302,0.0,180
2026-01-28 07:30:00,0.46470553759503447,0.0,180
2026-01-28 07:45:00,0.464773351107391,0.0,180
2026-01-28 08:00:00,0.4648407714979368,0.0,180
2026-01-28 08:15:00,0.4649078021752424,0.0,180
2026-01-28 08:30:00,0.4649744465085866,0.0,180
2026-01-28 08:45:00,0.46504070782852086,0.0,180
2026-01-28 09:00:00,0.4651065894274239,0.0,180
2026-01-28 09:15:00,0.4651720945600475,0.0,180
2026-01-28 09:30:00,0.46523722644405213,0.0,180
2026-01-28 09:45:00,0.46530198826053404,0.0,180
2026-01-28 10:00:00,0.465366383154543,0.0,180
2026-01-28 10:15:00,0.46543041423559145,0.0,180
2026-01-28 10:30:00,0.46549408457815505,0.0,180
2026-01-28 10:45:00,0.465557397222165,0.0,180
2026-01-28 11:00:00,0.4656203551734913,0.0,180
2026-01-28 11:15:00,0.46568296140441934,0.0,180
2026-01-28 11:30:00,0.4657452188541164,0.0,180
2026-01-28 11:45:00,0.465807130429093,0.0,180
