Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,208957,-,b'Madhya Pradesh',b'India',22.2,78.47,5,761,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Wind Speed,Pressure,Relative Humidity,Cloud Type
2018,1,1,0,0,0,0,0,12.9,1,935,21.21,1
2018,1,1,1,0,0,0,0,12.4,1,935,21.77,0
2018,1,1,2,0,0,0,0,12,1,935,22.38,1
2018,1,1,3,0,0,0,0,11.5,1,935,23.13,1
2018,1,1,4,0,0,0,0,11.200000000000001,1.1,935,23.59,0
2018,1,1,5,0,0,0,0,11.200000000000001,1.2000000000000002,929,43.24,1
2018,1,1,6,0,0,0,0,10.8,1.2000000000000002,930,44.35,1
2018,1,1,7,0,170,40,60,13.8,1.3,930,37.68,0
2018,1,1,8,0,443,115,253,17.5,2,931,28.66,0
2018,1,1,9,0,595,162,449,21.8,1.2000000000000002,931,22.32,0
2018,1,1,10,0,681,188,602,23.8,0.7000000000000001,930,20.07,0
2018,1,1,11,0,658,226,677,24.900000000000002,0.7000000000000001,929,19.19,0
2018,1,1,12,0,673,228,702,25.6,0.9,928,18.63,0
2018,1,1,13,0,658,218,655,25.8,1,927,18.53,0
2018,1,1,14,0,537,219,526,25.400000000000002,1.2000000000000002,926,19.02,0
2018,1,1,15,0,439,173,361,24.5,1.5,926,20.14,1
2018,1,1,16,0,271,101,167,21.3,0.9,926,27.54,0
2018,1,1,17,0,31,8,10,18,1.2000000000000002,927,32.660000000000004,0
2018,1,1,18,0,0,0,0,16.400000000000002,1.4000000000000001,928,35.54,0
