timestamp,city_status,total_load_kw,load_served_kw,load_shed_kw,resilience_score,critical_satisfaction_percent
2025-01-15,degraded,1615.1436118054767,806.4968028712861,808.6468089341905,0.8498003267900894,100.0
2025-01-15,degraded,1595.6724319151804,797.3427075833705,798.3297243318099,0.8499072162247685,100.0
2025-01-15,degraded,1615.896868139869,801.257520240314,814.639347899555,0.848757795631353,100.0
2025-01-15,degraded,1638.8982996639957,804.0756722561052,834.8226274078904,0.8471858880604651,100.0
2025-01-15,degraded,1594.9457197761699,802.2227917473664,792.7229280288035,0.8508934345163698,100.0
2025-01-15,degraded,1599.5015123659846,794.4196638578451,805.0818485081395,0.8490001086681197,100.0
2025-01-15,degraded,1612.1278553123675,794.0868183272271,818.0410369851404,0.8477711862078142,100.0
2025-01-15,degraded,1620.9920861625092,798.1065220870513,822.8855640754579,0.8477070484612542,100.0
2025-01-15,degraded,1605.4655984918084,795.9300462227634,809.535552269045,0.8487288261368793,100.0
2025-01-15,degraded,1593.305966929809,799.6821160118642,793.6238509179449,0.8505703485601318,100.0
2025-01-15,degraded,1597.0770837265331,798.6495875777283,798.4274961488048,0.8500208591774798,100.0
2025-01-15,degraded,1622.0708817795355,804.9224017680241,817.1484800115114,0.8488694009878833,100.0
2025-01-15,degraded,1608.1560570162185,803.3920433766108,804.7640136396077,0.8498720301188732,100.0
2025-01-15,degraded,1625.558768944675,801.7300265175268,823.8287424271482,0.8479608197194892,100.0
2025-01-15,degraded,1631.1860133560435,792.7480436337612,838.4379697222823,0.8457984626785895,100.0
2025-01-15,degraded,1599.0144121775552,799.8180940666446,799.1963181109106,0.8500583274250999,100.0
2025-01-15,degraded,1640.4547099988977,795.7134877393829,844.7412222595148,0.8455169989557195,100.0
2025-01-15,degraded,1602.033159944001,802.1752929485469,799.8578669954541,0.8502169829574414,100.0
2025-01-15,degraded,1583.8257128776004,798.15471697895,785.6709958986504,0.8511823006450897,100.0
2025-01-15,degraded,1603.5644410819243,793.701936068132,809.8625050137923,0.8484883143578479,100.0
2025-01-15,degraded,1631.3322788728706,799.6202592777331,831.7120195951375,0.8470491823707819,100.0
2025-01-15,degraded,1613.9798808639644,801.1088394037713,812.871041460193,0.8489068449183401,100.0
2025-01-15,degraded,1607.6876599767043,796.8960661633029,810.7915938134014,0.848703523576498,100.0
2025-01-15,degraded,1625.4328112933767,804.8413730452072,820.5914382481695,0.848546534951165,100.0
2025-01-15,degraded,1608.0742451563583,797.340185520688,810.7340596356703,0.8487506291309006,100.0
2025-01-15,degraded,1617.083598594393,807.6877463091433,809.3958522852496,0.8498415568022342,100.0
2025-01-15,degraded,1614.3336472965925,799.4749303742506,814.858716922342,0.8485705755522855,100.0
2025-01-15,degraded,1600.300689405441,798.5184859727331,801.782203432708,0.8496940839791938,100.0
2025-01-15,degraded,1609.067989290777,799.9316070310529,809.1363822597241,0.8491419155104134,100.0
2025-01-15,degraded,1635.2593700890054,807.1579163208604,828.101453768145,0.8480788793052922,100.0
2025-01-15,degraded,1625.4448155319867,803.4817208063737,821.963094725613,0.848294493875525,100.0
2025-01-15,degraded,1600.1962724226719,799.5855865418672,800.6106858808047,0.8499039087245167,100.0
2025-01-15,degraded,1602.1044390059146,798.9937903770127,803.1106486289019,0.8496145515094093,100.0
2025-01-15,degraded,1605.4249457837896,806.5766457249302,798.8483000588593,0.8507220841142122,100.0
2025-01-15,degraded,1617.2888278881312,802.6594711679674,814.6293567201639,0.8488898193063177,100.0
2025-01-15,degraded,1621.6479311980547,799.9805985898759,821.6673326081789,0.8479940096489734,100.0
2025-01-15,degraded,1610.950464488078,802.3309202954517,808.6195441926263,0.8494144490439834,100.0
2025-01-15,degraded,1621.6536947551542,801.1087693035716,820.5449254515826,0.8482021911141504,100.0
2025-01-15,degraded,1627.575893372116,793.7996991112349,833.7761942608812,0.8463157022066583,100.0
2025-01-15,degraded,1579.669733939182,801.2395735249581,778.4301604142238,0.8521659033487198,100.0
2025-01-15,degraded,1632.7139756008728,795.2018138269814,837.5121617738914,0.8461128818109731,100.0
2025-01-15,degraded,1622.545771291885,793.8501068163382,828.6956644755469,0.8467786217551695,100.0
