config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,47.9,0.0,742.73,2475.77,563.91,0.0,6,0.0,0.0,0.0,47.9,0.375,0.25,1.5,47.9,0.020833,0.99479167,1.5,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,479.77,175.48,473.85,1579.48,1318.4,229.73,18,175.48,24.9,86.58,192.82,2.3125,3.75,0.6167,479.77,0.0625,0.96788194,0.6302,1.795,15.545,3.277,0
Rule-Based,False,43,3.0,288,1,2.2,39.23,0.0,394.28,1314.26,771.61,0.0,2,0.0,0.0,0.0,39.23,0.125,0.25,0.5,39.23,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,345.58,95.9,116.26,387.54,2353.09,149.4,9,95.9,21.89,72.96,154.83,1.375,2.5,0.55,345.58,0.03125,0.98090278,0.5729,1.984,4.629,3.621,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,886.38,2954.61,1052.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,466.29,143.09,597.57,1991.91,2602.63,224.22,18,143.09,29.94,197.54,95.71,2.6875,5.5,0.4886,466.29,0.0625,0.96267361,0.4917,2.026,4.181,3.583,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,252.32,841.08,624.48,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,289.9,89.37,0.0,0.0,1911.09,78.09,6,89.37,25.77,65.37,109.39,0.875,2.0,0.4375,289.9,0.020833,0.98784722,0.5938,1.729,4.505,2.944,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,555.89,1852.98,644.09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,341.58,144.79,239.81,799.37,2424.98,148.3,14,144.79,18.3,96.38,82.11,1.8125,3.25,0.5577,341.58,0.048611,0.97482639,0.5417,1.971,7.356,3.604,4
