config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,24.08,0.0,749.6,2498.66,545.0,0.0,5,0.0,0.0,0.0,24.08,0.3125,0.25,1.25,24.08,0.017361,0.99565972,1.25,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,445.02,157.85,476.1,1587.0,1290.05,219.7,18,157.85,22.81,84.62,179.74,2.5625,4.0,0.6406,445.02,0.0625,0.96440972,0.8438,2.014,4.517,3.243,0
MPC+DR-Optimized,True,42,3.0,288,1,4.5,514.8,247.63,357.52,1191.73,1290.03,314.0,18,247.63,22.22,82.09,162.85,2.6875,3.0,0.8958,514.8,0.0625,0.96267361,1.1741,2.054,4.23,3.333,0
Rule-Based,False,43,3.0,288,1,2.2,55.64,0.0,395.66,1318.87,773.3,0.0,2,0.0,0.0,0.0,55.64,0.125,0.25,0.5,55.64,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,390.23,93.88,116.06,386.86,2356.54,163.23,9,93.88,23.78,70.43,202.13,1.25,2.5,0.5,390.23,0.03125,0.98263889,0.5,2.02,4.201,3.142,1
MPC+DR-Optimized,True,43,3.0,288,1,2.2,411.31,148.57,19.79,65.96,2204.47,220.66,9,148.57,23.78,70.43,168.53,1.375,2.25,0.6111,411.31,0.03125,0.98090278,0.625,2.1,4.354,3.452,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,891.62,2972.06,1074.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,524.67,155.28,589.28,1964.26,2652.35,223.28,18,155.28,47.47,202.47,119.45,2.9375,4.75,0.6184,524.67,0.0625,0.95920139,0.649,1.973,4.638,3.176,2
MPC+DR-Optimized,True,44,3.0,288,1,4.8,591.78,261.86,476.44,1588.12,2643.46,359.07,18,261.86,30.22,205.34,94.36,2.8125,3.75,0.75,591.78,0.0625,0.9609375,0.7344,1.917,4.2,2.935,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,260.07,866.91,598.09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,262.65,73.36,0.7,2.32,1980.21,80.94,5,73.36,26.51,63.6,99.18,0.875,2.0,0.4375,262.65,0.017361,0.98784722,0.4375,1.934,4.808,3.314,3
MPC+DR-Optimized,True,45,3.0,288,1,1.5,292.04,77.8,0.0,0.0,1474.03,130.94,6,77.8,25.17,63.6,125.47,0.875,1.5,0.5833,292.04,0.020833,0.98784722,0.625,1.753,7.692,2.986,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,548.12,1827.05,637.66,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,375.7,190.26,230.81,769.36,2433.92,184.64,14,190.26,16.82,88.33,80.29,1.75,3.25,0.5385,375.7,0.048611,0.97569444,0.5052,1.663,3.902,2.846,4
MPC+DR-Optimized,True,46,3.0,288,1,3.5,407.11,258.83,124.31,414.38,2340.86,214.75,14,258.83,19.13,65.27,63.89,1.6875,3.0,0.5625,407.11,0.048611,0.9765625,0.6562,1.72,3.925,2.88,4
