config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,34.18,0.0,742.1,2473.68,562.12,0.0,7,0.0,0.0,0.0,34.18,0.4375,0.5,0.875,34.18,0.024306,0.99392361,0.875,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,460.64,192.61,510.07,1700.23,1261.51,271.77,18,192.61,22.14,61.48,184.41,2.0,2.0,1.0,460.64,0.0625,0.97222222,0.9271,1.623,5.269,2.691,0
Rule-Based,False,43,3.0,288,1,2.2,46.04,0.0,393.19,1310.64,768.9,0.0,2,0.0,0.0,0.0,46.04,0.125,0.25,0.5,46.04,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,367.66,98.36,156.75,522.49,2084.54,168.61,8,98.36,24.27,60.68,184.35,0.9375,2.25,0.4167,367.66,0.027778,0.98697917,0.3854,1.703,4.621,2.651,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,882.0,2940.0,1059.05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,529.23,184.25,618.7,2062.33,2192.85,268.84,19,184.25,58.19,211.26,75.54,2.8125,4.5,0.625,529.23,0.065972,0.9609375,0.6344,1.747,5.618,3.0,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,256.19,853.98,637.03,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,261.14,75.86,43.83,146.11,1796.84,63.74,6,75.86,25.08,63.5,96.7,0.875,2.25,0.3889,261.14,0.020833,0.98784722,0.3958,1.555,3.544,2.74,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,552.8,1842.67,591.97,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,317.01,153.01,282.8,942.68,2114.24,142.88,13,153.01,23.52,76.75,63.72,1.5,2.75,0.5455,317.01,0.045139,0.97916667,0.5365,1.675,3.878,2.753,4
