config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,79.38,0.0,736.77,2455.91,540.01,0.0,7,0.0,0.0,0.0,79.38,0.4375,0.25,1.75,79.38,0.024306,0.99392361,1.75,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,504.22,180.28,469.77,1565.88,1327.46,271.87,18,180.28,23.84,90.86,209.24,2.4375,3.75,0.65,504.22,0.0625,0.96614583,0.6562,1.775,6.605,2.531,0
MPC+DR-Optimized,True,42,3.0,288,1,4.5,559.23,225.17,350.56,1168.52,1327.09,317.21,18,225.17,23.84,87.18,223.04,2.4375,3.75,0.65,559.23,0.0625,0.96614583,0.6562,1.813,7.404,3.103,0
Rule-Based,False,43,3.0,288,1,2.2,37.9,0.0,390.56,1301.88,807.09,0.0,2,0.0,0.0,0.0,37.9,0.125,0.25,0.5,37.9,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,354.65,99.9,105.78,352.62,2378.96,152.54,9,99.9,25.94,63.14,165.68,1.3125,2.25,0.5833,354.65,0.03125,0.98177083,0.625,1.76,5.719,2.699,1
MPC+DR-Optimized,True,43,3.0,288,1,2.2,419.44,149.22,16.45,54.84,2183.18,213.97,9,149.22,25.94,65.1,179.18,1.375,2.5,0.55,419.44,0.03125,0.98090278,0.5417,1.588,3.876,2.412,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,866.32,2887.73,894.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,415.04,195.01,565.17,1883.9,2593.76,219.46,19,195.01,23.06,157.34,39.63,2.6875,5.25,0.5119,415.04,0.065972,0.96267361,0.5625,1.593,3.509,2.513,2
MPC+DR-Optimized,True,44,3.0,288,1,4.8,534.8,278.87,451.87,1506.23,2577.36,376.58,19,278.87,16.98,201.39,37.55,2.5625,5.5,0.4659,534.8,0.065972,0.96440972,0.4875,1.58,2.614,2.208,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,257.51,858.37,593.06,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,272.66,83.61,0.0,0.0,1944.71,78.78,5,83.61,19.94,55.02,114.09,0.6875,2.0,0.3438,272.66,0.017361,0.99045139,0.3438,1.533,2.933,2.18,3
MPC+DR-Optimized,True,45,3.0,288,1,1.5,315.35,100.74,0.0,0.0,1447.82,132.65,6,100.74,24.44,55.02,135.15,0.8125,1.75,0.4643,315.35,0.020833,0.98871528,0.4688,1.633,4.659,2.277,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,551.38,1837.93,665.08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,369.76,194.38,233.34,777.8,2436.7,159.12,14,194.38,20.6,87.07,67.71,1.6875,4.0,0.4219,369.76,0.048611,0.9765625,0.4062,1.7,11.661,2.656,4
MPC+DR-Optimized,True,46,3.0,288,1,3.5,460.16,295.65,118.74,395.79,2408.18,242.98,13,295.65,22.35,82.45,59.7,1.5625,3.75,0.4167,460.16,0.045139,0.97829861,0.5625,1.599,3.687,2.237,4
