config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,10.0,960,1,9.8,1631.37,384.83,1423.96,4746.54,1763.52,0.0,17,384.83,0.0,1009.26,237.28,2.0625,0.75,2.75,1631.37,0.017708,0.99140625,2.75,0,0,0,0
MPC-Optimized,True,42,10.0,960,1,9.8,2161.92,213.03,1325.82,4419.42,2008.31,831.58,39,213.03,220.05,779.64,949.2,5.9375,10.0,0.5938,2161.92,0.040625,0.97526042,0.6704,1.639,4.192,2.381,0
MPC+DR-Optimized,True,42,10.0,960,1,9.8,1847.9,212.33,1302.15,4340.5,2014.86,941.92,38,212.33,158.28,541.14,936.15,5.625,11.25,0.5,1847.9,0.039583,0.9765625,0.5443,1.651,3.633,2.555,0
Rule-Based,False,43,10.0,960,1,2.2,0.0,0.0,299.92,999.73,311.18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,1
MPC-Optimized,True,43,10.0,960,1,2.2,169.95,83.0,0.0,0.0,2074.68,162.68,9,83.0,14.56,55.59,16.79,1.125,3.75,0.3,169.95,0.009375,0.9953125,0.3021,1.599,3.99,2.056,1
MPC+DR-Optimized,True,43,10.0,960,1,2.2,169.95,83.0,0.0,0.0,1252.6,138.62,9,83.0,14.56,55.59,16.79,1.125,3.75,0.3,169.95,0.009375,0.9953125,0.3021,1.637,4.558,2.256,1
Rule-Based,False,44,10.0,960,1,4.8,0.0,0.0,832.14,2773.82,953.29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,10.0,960,1,4.8,491.56,133.54,554.04,1846.8,2483.65,268.3,15,133.54,121.8,200.54,35.67,2.375,7.0,0.3393,491.56,0.015625,0.99010417,0.3445,1.644,4.061,2.501,2
MPC+DR-Optimized,True,44,10.0,960,1,4.8,492.3,133.54,438.67,1462.22,2478.59,407.94,15,133.54,121.8,200.54,36.4,2.4375,7.0,0.3482,492.3,0.015625,0.98984375,0.3534,1.661,4.048,2.552,2
Rule-Based,False,45,10.0,960,2,6.8,176.78,0.0,1192.06,3973.53,1643.51,0.0,12,0.0,0.0,0.0,176.78,0.75,0.25,3.0,176.78,0.0125,0.996875,3.0,0,0,0,3
MPC-Optimized,True,45,10.0,960,2,6.8,655.8,214.44,815.53,2718.43,3717.22,477.46,25,214.44,93.46,204.74,143.16,3.625,9.5,0.3816,655.8,0.026042,0.98489583,0.3859,1.673,4.406,2.505,3
MPC+DR-Optimized,True,45,10.0,960,2,6.8,655.8,214.44,682.14,2273.81,3811.18,519.57,25,214.44,93.46,204.74,143.16,3.625,9.5,0.3816,655.8,0.026042,0.98489583,0.3859,1.644,3.473,2.247,3
Rule-Based,False,46,10.0,960,1,10.0,2824.89,705.09,1424.95,4749.82,2398.84,0.0,27,705.09,268.01,1288.31,563.48,4.5625,1.25,3.65,2824.89,0.028125,0.98098958,4.1562,0,0,0,4
MPC-Optimized,True,46,10.0,960,1,10.0,3206.83,334.4,1375.47,4584.91,2663.08,798.77,40,334.4,329.42,1270.96,1272.05,7.5,7.75,0.9677,3206.83,0.041667,0.96875,1.4186,1.664,4.503,2.545,4
MPC+DR-Optimized,True,46,10.0,960,1,10.0,2879.82,176.54,1366.92,4556.41,2647.57,1017.39,40,176.54,286.54,1167.01,1249.73,7.0625,8.5,0.8309,2879.82,0.041667,0.97057292,1.1076,1.619,3.312,2.315,4
Rule-Based,False,47,10.0,960,1,7.2,361.14,37.08,1224.39,4081.3,946.94,0.0,18,37.08,0.0,0.0,324.05,1.25,0.75,1.6667,361.14,0.01875,0.99479167,1.4375,0,0,0,5
MPC-Optimized,True,47,10.0,960,1,7.2,504.13,149.81,1122.7,3742.35,1410.59,793.35,27,149.81,56.45,133.7,164.18,3.5,8.25,0.4242,504.13,0.028125,0.98541667,0.4291,1.639,10.499,2.418,5
MPC+DR-Optimized,True,47,10.0,960,1,7.2,442.14,149.81,1021.74,3405.78,1407.52,734.59,27,149.81,56.45,133.7,102.18,3.375,8.25,0.4091,442.14,0.028125,0.9859375,0.4152,1.667,4.403,2.57,5
Rule-Based,False,48,10.0,960,1,3.8,0.0,0.0,590.99,1969.97,636.38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,6
MPC-Optimized,True,48,10.0,960,1,3.8,265.56,96.58,272.14,907.15,2428.15,187.74,14,96.58,30.09,80.44,58.46,2.0625,5.75,0.3587,265.56,0.014583,0.99140625,0.3708,1.6,5.81,2.192,6
MPC+DR-Optimized,True,48,10.0,960,1,3.8,265.56,96.58,152.89,509.64,2428.29,240.36,14,96.58,30.09,80.44,58.46,2.0625,5.75,0.3587,265.56,0.014583,0.99140625,0.3708,1.579,3.731,2.12,6
Rule-Based,False,49,10.0,960,1,15.0,5743.13,1874.25,1434.71,4782.38,2469.44,0.0,47,1874.25,570.83,2377.3,920.75,9.1875,1.0,9.1875,5743.13,0.048958,0.96171875,9.1875,0,0,0,7
MPC-Optimized,True,49,10.0,960,1,15.0,6264.8,1506.4,1375.7,4585.65,2701.05,886.89,60,1506.4,610.98,2452.42,1695.0,12.25,7.75,1.5806,6264.8,0.0625,0.94895833,2.4779,1.638,5.477,2.363,7
MPC+DR-Optimized,True,49,10.0,960,1,15.0,5885.32,1404.02,1376.02,4586.73,2707.89,1017.2,60,1404.02,610.98,2230.75,1639.57,12.0,8.75,1.3714,5885.32,0.0625,0.95,1.9506,1.681,5.706,2.561,7
Rule-Based,False,50,10.0,960,1,3.5,0.0,0.0,688.35,2294.51,932.76,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,8
MPC-Optimized,True,50,10.0,960,1,3.5,302.74,115.94,401.74,1339.14,2506.54,202.41,14,115.94,47.52,84.82,54.45,2.125,4.5,0.4722,302.74,0.014583,0.99114583,0.4896,1.628,3.645,2.472,8
