config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,52.56,0.0,742.19,2473.98,586.53,0.0,6,0.0,0.0,0.0,52.56,0.375,0.25,1.5,52.56,0.020833,0.99479167,1.5,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,338.36,134.14,492.22,1640.72,1288.91,0.0,15,134.14,38.55,88.64,77.03,2.0625,6.5,0.3173,338.36,0.052083,0.97135417,0.3199,1.952,6.314,2.85,0
MPC+DR-Optimized,True,42,3.0,288,1,4.5,338.36,134.14,457.42,1524.75,1303.73,0.0,15,134.14,38.55,88.64,77.03,2.0625,6.5,0.3173,338.36,0.052083,0.97135417,0.3199,1.918,5.48,2.727,0
Rule-Based,False,43,3.0,288,1,2.2,43.2,0.0,388.89,1296.3,806.23,0.0,2,0.0,0.0,0.0,43.2,0.125,0.25,0.5,43.2,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,273.17,91.39,123.99,413.32,2276.39,0.0,9,91.39,28.4,65.09,88.3,1.375,3.75,0.3667,273.17,0.03125,0.98090278,0.375,1.929,4.226,2.586,1
MPC+DR-Optimized,True,43,3.0,288,1,2.2,273.17,91.39,108.94,363.13,2282.34,0.0,9,91.39,28.4,65.09,88.3,1.375,3.75,0.3667,273.17,0.03125,0.98090278,0.375,1.869,4.5,2.89,1
Rule-Based,False,44,3.0,288,1,4.8,20.71,0.0,883.04,2943.48,1298.72,0.0,1,0.0,0.0,20.71,0.0,0.0625,0.25,0.25,20.71,0.003472,0.99913194,0.25,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,512.23,117.71,595.74,1985.81,2654.49,0.0,17,117.71,66.9,170.89,156.74,2.8125,5.25,0.5357,512.23,0.059028,0.9609375,0.5417,1.851,3.547,2.593,2
MPC+DR-Optimized,True,44,3.0,288,1,4.8,479.55,117.71,581.17,1937.22,2618.75,0.0,17,117.71,66.9,133.71,161.23,2.6875,5.5,0.4886,479.55,0.059028,0.96267361,0.4938,1.932,4.631,3.142,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,261.03,870.09,654.84,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,275.4,106.43,4.78,15.94,1931.32,0.0,6,106.43,30.21,65.51,73.24,0.9375,2.25,0.4167,275.4,0.020833,0.98697917,0.4271,1.914,4.53,3.01,3
MPC+DR-Optimized,True,45,3.0,288,1,1.5,275.4,106.43,7.5,25.0,1806.6,0.0,6,106.43,30.21,65.51,73.24,0.9375,2.25,0.4167,275.4,0.020833,0.98697917,0.4271,1.975,4.668,2.993,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,551.39,1837.97,642.98,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,232.2,95.4,236.97,789.88,2396.29,0.0,13,95.4,28.03,56.42,52.35,1.875,3.5,0.5357,232.2,0.045139,0.97395833,0.5969,1.885,3.914,2.649,4
MPC+DR-Optimized,True,46,3.0,288,1,3.5,232.2,95.4,207.0,690.01,2396.3,0.0,13,95.4,28.03,56.42,52.35,1.875,3.5,0.5357,232.2,0.045139,0.97395833,0.5969,1.912,4.136,2.734,4
