config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,107.55,0.0,746.24,2487.47,556.9,0.0,8,0.0,0.0,0.0,107.55,0.5,0.25,2.0,107.55,0.027778,0.99305556,2.0,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,531.58,195.39,496.99,1656.62,1313.45,290.07,18,195.39,25.99,92.1,218.1,2.3125,3.25,0.7115,531.58,0.0625,0.96788194,0.8031,1.513,4.069,2.2,0
MPC+DR-Optimized,True,42,3.0,288,1,4.5,596.03,258.06,378.19,1260.63,1313.29,367.12,18,258.06,25.13,93.54,219.29,2.4375,3.0,0.8125,596.03,0.0625,0.96614583,0.7792,1.556,4.035,2.348,0
Rule-Based,False,43,3.0,288,1,2.2,45.3,0.0,405.13,1350.43,807.04,0.0,2,0.0,0.0,0.0,45.3,0.125,0.25,0.5,45.3,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,362.05,93.5,120.79,402.62,2404.65,161.34,9,93.5,24.18,64.82,179.54,1.25,2.25,0.5556,362.05,0.03125,0.98263889,0.5625,1.5,4.622,2.054,1
MPC+DR-Optimized,True,43,3.0,288,1,2.2,400.24,130.23,23.26,77.53,2249.14,207.26,9,130.23,20.59,70.93,178.49,1.25,2.0,0.625,400.24,0.03125,0.98263889,0.7917,1.469,3.128,1.97,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,890.15,2967.17,1081.19,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,529.08,173.36,605.21,2017.36,2633.54,314.77,17,173.36,32.41,225.25,98.06,2.8125,5.5,0.5114,529.08,0.059028,0.9609375,0.5268,1.593,4.634,2.637,2
MPC+DR-Optimized,True,44,3.0,288,1,4.8,615.18,257.35,488.61,1628.7,2592.87,409.52,17,257.35,18.55,234.85,104.43,2.6875,4.5,0.5972,615.18,0.059028,0.96267361,0.6021,1.734,8.362,2.664,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,259.12,863.72,604.74,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,258.2,81.11,0.0,0.0,1958.19,55.94,5,81.11,24.82,66.76,85.52,0.8125,2.25,0.3611,258.2,0.017361,0.98871528,0.3646,1.482,3.454,2.043,3
MPC+DR-Optimized,True,45,3.0,288,1,1.5,305.38,103.64,0.0,0.0,1446.44,126.28,6,103.64,23.4,66.76,111.58,0.9375,2.0,0.4688,305.38,0.020833,0.98697917,0.4583,1.686,3.836,3.002,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,553.03,1843.42,623.28,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,350.16,155.46,229.9,766.34,2420.38,132.89,13,155.46,19.35,101.59,73.76,1.9375,4.0,0.4844,350.16,0.045139,0.97309028,0.5083,1.561,6.328,2.341,4
MPC+DR-Optimized,True,46,3.0,288,1,3.5,426.53,266.92,122.31,407.69,2345.08,221.59,14,266.92,19.84,82.34,57.44,1.9375,3.75,0.5167,426.53,0.048611,0.97309028,0.6729,1.533,4.625,2.3,4
