config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,51.28,0.0,736.89,2456.31,554.96,0.0,6,0.0,0.0,0.0,51.28,0.375,0.25,1.5,51.28,0.020833,0.99479167,1.5,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,486.6,100.45,547.71,1825.71,1502.44,234.54,18,100.45,33.23,86.32,266.6,1.875,2.5,0.75,486.6,0.0625,0.97395833,0.8125,2.37,21.325,4.006,0
MPC+DR-Optimized,True,42,3.0,288,1,4.5,424.28,133.34,458.23,1527.44,1483.25,283.37,18,133.34,24.23,53.15,213.57,1.875,2.25,0.8333,424.28,0.0625,0.97395833,0.8438,2.336,5.425,4.069,0
Rule-Based,False,43,3.0,288,1,2.2,50.62,0.0,397.78,1325.92,776.72,0.0,2,0.0,0.0,0.0,50.62,0.125,0.25,0.5,50.62,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,379.34,74.27,95.62,318.73,2606.83,32.81,9,74.27,23.5,82.4,199.18,1.0625,1.75,0.6071,379.34,0.03125,0.98524306,0.8021,4.081,22.995,10.748,1
MPC+DR-Optimized,True,43,3.0,288,1,2.2,366.93,121.67,7.42,24.72,2455.93,84.56,9,121.67,23.5,58.93,162.83,1.0625,1.5,0.7083,366.93,0.03125,0.98524306,0.8438,5.656,20.057,9.416,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,877.05,2923.48,1193.18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,1213.05,248.91,308.11,1027.02,2660.48,249.24,19,248.91,348.0,483.05,133.08,4.0625,2.75,1.4773,1213.05,0.065972,0.94357639,1.651,5.439,15.502,9.105,2
MPC+DR-Optimized,True,44,3.0,288,1,4.8,1193.23,210.34,196.38,654.6,2649.73,379.05,18,210.34,363.96,471.71,147.22,3.9375,2.5,1.575,1193.23,0.0625,0.9453125,1.6667,4.006,11.513,6.795,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,256.9,856.34,620.13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,294.89,79.08,0.0,0.0,2091.75,15.14,6,79.08,22.31,89.66,103.83,0.8125,1.25,0.65,294.89,0.020833,0.98871528,0.75,4.252,13.716,7.421,3
MPC+DR-Optimized,True,45,3.0,288,1,1.5,261.06,78.06,0.0,0.0,1716.47,51.93,6,78.06,22.31,55.55,105.14,0.75,1.0,0.75,261.06,0.020833,0.98958333,0.75,4.395,15.768,7.957,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,552.43,1841.45,674.27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,313.78,131.46,292.56,975.21,2663.59,183.66,13,131.46,18.6,85.1,78.61,1.1875,2.75,0.4318,313.78,0.045139,0.98350694,0.4219,4.765,12.212,8.429,4
MPC+DR-Optimized,True,46,3.0,288,1,3.5,247.47,101.96,197.68,658.95,2659.85,250.66,11,101.96,27.88,60.96,56.67,1.0,2.5,0.4,247.47,0.038194,0.98611111,0.375,4.828,24.006,8.844,4
