config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,69.94,0.0,745.46,2484.86,532.8,0.0,7,0.0,0.0,0.0,69.94,0.4375,0.25,1.75,69.94,0.024306,0.99392361,1.75,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,514.54,181.55,479.48,1598.27,1293.75,267.66,18,181.55,21.98,96.5,214.52,2.5,3.5,0.7143,514.54,0.0625,0.96527778,0.7031,1.49,7.672,1.899,0
MPC+DR-Optimized,True,42,3.0,288,1,4.5,556.55,233.61,360.31,1201.03,1293.58,319.61,18,233.61,24.38,101.67,196.89,2.75,3.25,0.8462,556.55,0.0625,0.96180556,0.8854,1.54,5.351,2.582,0
Rule-Based,False,43,3.0,288,1,2.2,35.23,0.0,401.73,1339.12,822.8,0.0,2,0.0,0.0,0.0,35.23,0.125,0.25,0.5,35.23,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,393.86,103.15,121.14,403.8,2352.65,163.47,9,103.15,25.31,81.25,184.14,1.25,2.5,0.5,393.86,0.03125,0.98263889,0.5573,1.547,4.529,2.696,1
MPC+DR-Optimized,True,43,3.0,288,1,2.2,447.36,171.98,16.45,54.82,2266.14,238.48,9,171.98,21.95,89.73,163.7,1.25,2.0,0.625,447.36,0.03125,0.98263889,0.75,1.598,3.199,2.705,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,881.74,2939.13,973.12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,475.04,186.85,604.34,2014.47,2564.44,298.53,19,186.85,23.32,218.88,45.98,2.6875,4.5,0.5972,475.04,0.065972,0.96267361,0.6281,1.581,3.541,2.425,2
MPC+DR-Optimized,True,44,3.0,288,1,4.8,538.54,276.31,485.16,1617.2,2562.82,373.94,19,276.31,14.7,200.46,47.07,2.625,4.0,0.6562,538.54,0.065972,0.96354167,0.7177,1.607,5.013,2.744,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,261.28,870.92,639.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,292.0,99.96,0.0,0.0,1964.3,77.95,6,99.96,25.72,65.31,101.01,1.125,2.0,0.5625,292.0,0.020833,0.984375,0.7083,1.489,3.391,2.073,3
MPC+DR-Optimized,True,45,3.0,288,1,1.5,337.58,117.15,0.0,0.0,1469.92,130.8,6,117.15,24.7,58.59,137.15,1.0625,1.5,0.7083,337.58,0.020833,0.98524306,0.8958,1.634,3.557,2.773,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,559.07,1863.56,530.82,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,348.48,149.01,220.86,736.19,2463.7,149.45,14,149.01,16.48,111.5,71.49,1.9375,3.5,0.5536,348.48,0.048611,0.97309028,0.5062,1.549,4.369,2.453,4
MPC+DR-Optimized,True,46,3.0,288,1,3.5,403.13,246.24,115.95,386.49,2372.7,201.72,14,246.24,20.44,78.18,58.27,1.9375,4.0,0.4844,403.13,0.048611,0.97309028,0.5292,1.577,4.306,3.013,4
