config,use_optimizer,trial_seed,duration_days,total_steps,n_outage_events,total_outage_hours,total_ens_kwh,critical_ens_kwh,total_fuel_cost_usd,total_gen_kwh,total_batt_cycling_kwh,total_transfer_kwh,shed_steps,hospital_ens,university_ens,industrial_ens,residential_ens,SAIDI,SAIFI,CAIDI,EENS,LOLP,ASAI,avg_recovery_hours,avg_solve_ms,max_solve_ms,p95_solve_ms,trial_idx
Rule-Based,False,42,3.0,288,1,4.5,39.61,0.0,743.89,2479.63,576.7,0.0,6,0.0,0.0,0.0,39.61,0.375,0.25,1.5,39.61,0.020833,0.99479167,1.5,0,0,0,0
MPC-Optimized,True,42,3.0,288,1,4.5,382.92,160.09,445.73,1485.78,1362.41,265.5,18,160.09,34.86,98.9,89.07,2.5,5.75,0.4348,382.92,0.0625,0.96527778,0.4578,1.732,5.409,2.857,0
Rule-Based,False,43,3.0,288,1,2.2,36.61,0.0,394.91,1316.36,826.26,0.0,2,0.0,0.0,0.0,36.61,0.125,0.25,0.5,36.61,0.006944,0.99826389,0.5,0,0,0,1
MPC-Optimized,True,43,3.0,288,1,2.2,299.19,90.46,144.82,482.75,2126.95,261.66,9,90.46,29.41,79.93,99.4,1.375,3.5,0.3929,299.19,0.03125,0.98090278,0.3958,1.961,5.018,3.497,1
Rule-Based,False,44,3.0,288,1,4.8,0.0,0.0,885.15,2950.49,940.58,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,2
MPC-Optimized,True,44,3.0,288,1,4.8,368.99,166.56,576.95,1923.18,2615.2,250.16,17,166.56,51.26,120.1,31.08,2.5625,6.25,0.41,368.99,0.059028,0.96440972,0.4122,2.026,5.749,3.594,2
Rule-Based,False,45,3.0,288,1,1.5,0.0,0.0,258.7,862.34,624.34,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,3
MPC-Optimized,True,45,3.0,288,1,1.5,243.3,86.17,36.0,119.99,1692.37,268.79,6,86.17,25.26,57.66,74.2,0.875,2.5,0.35,243.3,0.020833,0.98784722,0.4167,1.886,4.651,3.417,3
Rule-Based,False,46,3.0,288,1,3.5,0.0,0.0,551.25,1837.48,672.29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,0,0,4
MPC-Optimized,True,46,3.0,288,1,3.5,293.11,122.16,254.23,847.42,2304.88,254.85,13,122.16,25.95,75.15,69.85,1.875,5.25,0.3571,293.11,0.045139,0.97395833,0.3583,1.842,5.578,3.134,4
