capacity_multiplier,config,mean_ens_kwh,mean_fuel_cost_usd,SAIDI,ASAI
0.5,Rule-Based,343.1233333333333,808.3866666666667,1.125,0.990625
0.5,MPC-Optimized,835.9499999999999,727.73,2.3125,0.9807291666666668
0.5,MPC+DR-Optimized,773.7199999999999,632.8299999999999,2.1875,0.9817708333333334
0.75,Rule-Based,261.19,808.3866666666667,0.75,0.99375
0.75,MPC-Optimized,813.1899999999999,661.0866666666667,2.1666666666666665,0.9819444466666667
0.75,MPC+DR-Optimized,768.4000000000001,564.5933333333334,2.1041666666666665,0.9824652766666667
1.0,Rule-Based,206.97333333333333,808.3866666666667,0.5833333333333334,0.9951388900000001
1.0,MPC-Optimized,747.2866666666665,602.9033333333333,2.1875,0.9817708333333334
1.0,MPC+DR-Optimized,673.64,536.0333333333333,2.1041666666666665,0.9824652766666667
1.25,Rule-Based,161.74666666666667,808.3866666666667,0.4791666666666667,0.9960069466666667
1.25,MPC-Optimized,701.07,553.5433333333334,2.0,0.9833333299999999
1.25,MPC+DR-Optimized,630.1733333333333,491.9866666666667,1.9375,0.9838541666666666
1.5,Rule-Based,131.27333333333334,808.3866666666667,0.4166666666666667,0.9965277766666668
1.5,MPC-Optimized,667.5799999999999,511.0533333333333,1.8333333333333333,0.98472222
1.5,MPC+DR-Optimized,546.49,469.12999999999994,1.7708333333333333,0.9852430566666666
2.0,Rule-Based,78.37666666666667,808.3866666666667,0.2916666666666667,0.9975694433333334
2.0,MPC-Optimized,538.8033333333333,428.23333333333335,1.7083333333333333,0.98576389
2.0,MPC+DR-Optimized,466.6366666666666,371.40000000000003,1.6458333333333333,0.9862847233333333
