timestamp,time_minutes,total_load_kw,critical_load_kw,non_critical_load_kw,shed_load_kw,hvac_load_kw,wards_lighting_load_kw,admin_load_kw,pv_power_kw,pv_curtailment_kw,gen1_power_kw,gen1_state,gen2_power_kw,gen2_state,grid_power_kw,battery_power_kw,battery_soc_percent,battery_energy_kwh,operation_mode,grid_available,frequency_hz,voltage_pu,power_balance_kw,islanding_event,reconnection_event,load_energy_kwh,pv_energy_kwh,gen1_fuel_liters,gen2_fuel_liters,battery_throughput_kwh
2025-01-15 00:00:00,0.0,738.2498054221196,220,518.2498054221196,0.0,358.7883268306982,59.79805447178303,99.66342411963839,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-400.0,77.85478997883668,1261.2475976571543,GRID_CONNECTED,True,50.0,1.0,-400.0,False,False,61.52081711850997,0.0,0.0,0.0,34.75240234284579
2025-01-15 00:05:00,5.0,703.8226260715367,220,483.82262607153666,0.0,334.9541257418331,55.82568762363884,93.04281270606474,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-365.57282064941705,75.8942137830315,1229.4862632851105,GRID_CONNECTED,True,50.0,1.0,-365.57282064941705,False,False,120.17270262447136,0.0,0.0,0.0,66.51373671488966
2025-01-15 00:10:00,10.0,703.7682459867457,220,483.7682459867457,0.0,334.9164779908239,55.81941299847065,93.0323549974511,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-365.5184405646261,73.93392922898344,1197.7296535095318,GRID_CONNECTED,True,50.0,1.0,-365.5184405646261,False,False,178.82005645670017,0.0,0.0,0.0,98.27034649046828
2025-01-15 00:15:00,15.0,713.4532069003565,220,493.45320690035646,0.0,341.621450931016,56.936908488502674,94.89484748083778,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-375.20340147823686,71.92170398691924,1165.1316045880917,GRID_CONNECTED,True,50.0,1.0,-375.20340147823686,False,False,238.2744903650632,0.0,0.0,0.0,130.86839541190827
2025-01-15 00:20:00,20.0,702.9356895887494,220,482.93568958874937,0.0,334.3400927922111,55.72334879870185,92.87224799783642,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-364.68588416662976,69.96588445369159,1133.4473281498038,GRID_CONNECTED,True,50.0,1.0,-364.68588416662976,False,False,296.852464497459,0.0,0.0,0.0,162.5526718501962
2025-01-15 00:25:00,25.0,705.8788114342092,220,485.8788114342092,0.0,336.37763868522177,56.062939780870295,93.43823296811715,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-367.6290060120896,67.99428088427297,1101.5073503252222,GRID_CONNECTED,True,50.0,1.0,-367.6290060120896,False,False,355.6756987836431,0.0,0.0,0.0,194.4926496747777
2025-01-15 00:30:00,30.0,728.569813998425,220,508.56981399842505,0.0,352.086794306602,58.68113238443366,97.80188730738944,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-390.32000857630544,65.90098489962686,1067.5959553739553,GRID_CONNECTED,True,50.0,1.0,-390.32000857630544,False,False,416.38984995017853,0.0,0.0,0.0,228.40404462604468
2025-01-15 00:35:00,35.0,735.528499988571,220,515.528499988571,0.0,356.90434614593374,59.484057690988955,99.14009615164827,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-397.27869456645135,63.7703693076803,1033.0799827844207,GRID_CONNECTED,True,50.0,1.0,-397.27869456645135,False,False,477.6838916158928,0.0,0.0,0.0,262.9200172155793
2025-01-15 00:40:00,40.0,719.7646877347715,220,499.76468773477154,0.0,345.9909376625342,57.665156277089025,96.10859379514838,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-381.51488231265193,61.72429543578018,999.9335860596389,GRID_CONNECTED,True,50.0,1.0,-381.51488231265193,False,False,537.6642822604571,0.0,0.0,0.0,296.06641394036114
2025-01-15 00:45:00,45.0,737.2422200307872,220,517.2422200307872,0.0,358.09076771362186,59.681794618936976,99.4696576982283,0.0,0,0.0,OFF,0.0,OFF,338.2498054221196,-398.99241460866756,59.58448912031351,965.268723749079,GRID_CONNECTED,True,50.0,1.0,-398.99241460866756,False,False,599.1011339296894,0.0,0.0,0.0,330.73127625092104
