timestamp,time_minutes,total_load_kw,critical_load_kw,non_critical_load_kw,shed_load_kw,ev_charging_kw,ac_load_kw,washing_load_kw,lighting_load_kw,pv_power_kw,pv_curtailment_kw,gen1_power_kw,gen1_state,grid_power_kw,battery_power_kw,battery_soc_percent,battery_energy_kwh,operation_mode,grid_available,frequency_hz,voltage_pu,power_balance_kw,islanding_event,reconnection_event,load_energy_kwh,pv_energy_kwh,gen1_fuel_liters,battery_throughput_kwh,ac_shed_minutes,ev_shed_minutes
2025-01-15 00:00:00,0.0,171.8383363461199,100,71.83833634611989,0.0,17.959584086529972,41.90569620190327,6.7348440324487395,5.2382120252379085,0.0,0,0.0,OFF,0.0,-171.8383363461199,81.60777255496767,367.2349764973545,GRID_CONNECTED,True,50.0,1.0,-171.8383363461199,False,False,14.319861362176656,0.0,0.0,15.265023502645452,5.0,5.0
2025-01-15 00:05:00,5.0,177.2589914333847,100,77.2589914333847,0.0,19.314747858346173,45.06774500280773,7.243030446879814,5.633468125350967,0.0,0,0.0,OFF,0.0,-177.2589914333847,78.10853700366484,351.4884165164918,GRID_CONNECTED,True,50.0,1.0,-177.2589914333847,False,False,29.091443981625382,0.0,0.0,31.01158348350821,10.0,10.0
2025-01-15 00:10:00,10.0,183.21726733507182,100,83.21726733507182,0.0,20.804316833767956,48.54340594545856,7.8016188126629835,6.06792574318232,0.0,0,0.0,OFF,0.0,-183.21726733507182,74.49168027731719,335.21256124792734,GRID_CONNECTED,True,50.0,1.0,-183.21726733507182,False,False,44.359549592881365,0.0,0.0,47.28743875207267,15.0,15.0
2025-01-15 00:15:00,15.0,178.2354015739669,100,78.2354015739669,0.0,19.558850393491724,45.63731758481403,7.3345688975593974,5.7046646981017535,0.0,0,0.0,OFF,0.0,-178.2354015739669,70.97316960180797,319.37926320813585,GRID_CONNECTED,True,50.0,1.0,-178.2354015739669,False,False,59.21249972404527,0.0,0.0,63.12073679186418,20.0,20.0
2025-01-15 00:20:00,20.0,177.64396138632833,100,77.64396138632833,0.0,19.410990346582082,45.292310808691525,7.279121379968281,5.661538851086441,0.0,0,0.0,OFF,0.0,-177.64396138632833,67.46633443293634,303.59850494821353,GRID_CONNECTED,True,50.0,1.0,-177.64396138632833,False,False,74.01616317290596,0.0,0.0,78.90149505178651,25.0,25.0
2025-01-15 00:25:00,25.0,188.2637852970799,100,88.26378529707989,0.0,22.065946324269973,51.487208089963275,8.27472987160124,6.435901011245409,0.0,0,0.0,OFF,0.0,-188.2637852970799,63.74985536912558,286.8743491610651,GRID_CONNECTED,True,50.0,1.0,-188.2637852970799,False,False,89.70481194766262,0.0,0.0,95.62565083893496,30.0,30.0
2025-01-15 00:30:00,30.0,186.6211428221691,100,86.6211428221691,0.0,21.655285705542276,50.528999979598645,8.120732139578354,6.316124997449831,0.0,0,0.0,OFF,0.0,-186.6211428221691,60.06580339349695,270.29611527073627,GRID_CONNECTED,True,50.0,1.0,-186.6211428221691,False,False,105.25657384951005,0.0,0.0,112.20388472926376,35.0,35.0
2025-01-15 00:35:00,35.0,171.96894557686016,100,71.96894557686016,0.0,17.99223639421504,41.981884919835096,6.7470886478306396,5.247735614979387,0.0,0,0.0,OFF,0.0,-171.96894557686016,56.670997616839024,255.0194892757756,GRID_CONNECTED,True,50.0,1.0,-171.96894557686016,False,False,119.58731931424839,0.0,0.0,127.48051072422442,40.0,40.0
2025-01-15 00:40:00,40.0,179.04564226891398,100,79.04564226891398,0.0,19.761410567228495,46.10995799019982,7.410528962710685,5.763744748774977,0.0,0,0.0,OFF,0.0,-179.04564226891398,53.13649213609062,239.11421461240778,GRID_CONNECTED,True,50.0,1.0,-179.04564226891398,False,False,134.50778950332455,0.0,0.0,143.38578538759225,45.0,45.0
2025-01-15 00:45:00,45.0,176.80887432744453,100,76.80887432744453,0.0,19.202218581861132,44.80517669100931,7.2008319681979245,5.6006470863761635,0.0,0,0.0,OFF,0.0,-176.80887432744453,49.646142259735036,223.40764016880766,GRID_CONNECTED,True,50.0,1.0,-176.80887432744453,False,False,149.24186236394493,0.0,0.0,159.09235983119237,50.0,50.0
2025-01-15 00:50:00,50.0,177.91503780605524,100,77.91503780605524,0.0,19.47875945151381,45.45043872019889,7.304534794317679,5.681304840024861,0.0,0,0.0,OFF,0.0,-177.91503780605524,46.13395582356036,207.60280120602164,GRID_CONNECTED,True,50.0,1.0,-177.91503780605524,False,False,164.06811551444954,0.0,0.0,174.89719879397842,55.0,55.0
2025-01-15 00:55:00,55.0,177.29920116728056,100,77.29920116728056,0.0,19.32480029182014,45.09120068091366,7.246800109432552,5.636400085114207,0.0,0,0.0,OFF,0.0,-177.29920116728056,42.63392649965836,191.8526692484626,GRID_CONNECTED,True,50.0,1.0,-177.29920116728056,False,False,178.84304894505627,0.0,0.0,190.64733075153745,60.0,60.0
2025-01-15 01:00:00,60.0,184.87457385799192,100,84.87457385799192,0.0,21.21864346449798,49.51016808382862,7.956991299186742,6.188771010478577,0.0,0,0.0,OFF,0.0,-184.87457385799192,38.984353204985936,175.42958942243672,GRID_CONNECTED,True,50.0,1.0,-184.87457385799192,False,False,194.24926343322227,0.0,0.0,207.07041057756334,65.0,65.0
2025-01-15 01:05:00,65.0,188.8619916855556,100,88.86199168555561,0.0,22.215497921388902,51.836161816574105,8.330811720520838,6.479520227071763,0.0,0,0.0,OFF,0.0,-188.8619916855556,35.25606506427225,158.65229278922513,GRID_CONNECTED,True,50.0,1.0,-188.8619916855556,False,False,209.9877627403519,0.0,0.0,223.84770721077493,70.0,70.0
